respondent_id,company_id,dimension_id,dimension,construct_id,construct,score,industry_synthetic,country_synthetic,continent_synthetic,role_synthetic
0046a5e5,550e8400-e29b-41d4-a716-446655440003,1,Strategy and Vision,1,Alignment with Business Goals,4.33554054054054,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,1,Strategy and Vision,2,Leadership Commitment,4.466081081081081,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,1,Strategy and Vision,3,Long-Term Vision,3.101689189189189,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,1,Strategy and Vision,4,Resource Allocation,4.449831081081081,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,2,Data,5,Data Quality,3.853918918918919,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,2,Data,6,Data Accessibility,4.388277027027027,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,2,Data,7,Data Governance Framework,4.5253716216216215,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,2,Data,8,Data Integration,3.908209459459459,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,3,Technology,9,AI Tools and Platforms,5.402263513513513,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,3,Technology,10,Scalability,5.228243243243243,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,3,Technology,11,Cloud vs. On-Premises Solutions,4.509932432432433,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,3,Technology,12,Integration and Optimization,4.0162162162162165,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,4,Talent and Skills,13,AI Skills and Expertise,4.913614864864865,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,4,Talent and Skills,14,Training and Development,4.196925675675676,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,4,Talent and Skills,15,Recruitment and Team Formation,3.44152027027027,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,4,Talent and Skills,16,Cross-Functional Collaboration,4.313547297297297,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,5,Organisation and Processes,17,AI Governance and Structure,3.298783783783784,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,5,Organisation and Processes,18,Process Integration and Optimization,2.8372972972972974,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,5,Organisation and Processes,19,Change Management,5.531891891891892,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,5,Organisation and Processes,20,AI-Driven Decision Optimization,4.338716216216216,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,6,Innovation,21,Prototyping and Experimentation,5.1475,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,6,Innovation,22,Products and Services,4.299121621621621,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,6,Innovation,23,Speed of Implementation,3.300743243243243,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,6,Innovation,24,Innovation Culture and Leadership,4.775304054054054,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,7,Adaptation & Adoption,25,Tooldropping,4.583851351351351,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,7,Adaptation & Adoption,26,Jobs,4.16875,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,7,Adaptation & Adoption,27,Engagement,3.873412162162162,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,7,Adaptation & Adoption,28,Confidence/Authority,4.382972972972973,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,8,Ethics and Responsibility,29,Ethical AI Framework,4.543412162162162,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,8,Ethics and Responsibility,30,Bias and Fairness,4.2339864864864865,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,8,Ethics and Responsibility,31,Transparency and Explainability,6.088175675675675,Government,India,North America,Staff
0046a5e5,550e8400-e29b-41d4-a716-446655440003,8,Ethics and Responsibility,32,Data Privacy and Security,6.914425675675676,Government,India,North America,Staff
113b34f0,550e8400-e29b-41d4-a716-446655440002,1,Strategy and Vision,1,Alignment with Business Goals,4.05112582781457,Manufacturing,France,Asia,IT & Data
113b34f0,550e8400-e29b-41d4-a716-446655440002,1,Strategy and Vision,2,Leadership Commitment,4.557417218543046,Manufacturing,France,Asia,IT & Data
113b34f0,550e8400-e29b-41d4-a716-446655440002,1,Strategy and Vision,3,Long-Term Vision,2.927119205298013,Manufacturing,France,Asia,IT & Data
113b34f0,550e8400-e29b-41d4-a716-446655440002,1,Strategy and Vision,4,Resource Allocation,4.261026490066225,Manufacturing,France,Asia,IT & Data
113b34f0,550e8400-e29b-41d4-a716-446655440002,2,Data,5,Data Quality,3.7569536423841057,Manufacturing,France,Asia,IT & Data
113b34f0,550e8400-e29b-41d4-a716-446655440002,2,Data,6,Data Accessibility,4.095430463576159,Manufacturing,France,Asia,IT & Data
