respondent_id,user_language,region,department,employment_type,age,is_synthetic,construct_1,construct_2,construct_3,construct_4,construct_5,construct_6,construct_7,construct_8,construct_9,construct_10,construct_11,construct_12,construct_13,construct_14,construct_15,construct_16,construct_17,construct_18,construct_19,construct_20,construct_21,construct_22,construct_23,construct_24,construct_25,construct_26,construct_27,construct_28,construct_29,construct_30,construct_31,construct_32
0046a5e5,9ea02138,3923bcaf,267b8a72,020cc613,b3090c0d,0,4.34,4.47,3.1,4.45,3.85,4.39,4.53,3.91,5.4,5.23,4.51,4.02,4.91,4.2,3.44,4.31,3.3,2.84,5.53,4.34,5.15,4.3,3.3,4.78,4.58,4.17,3.87,4.38,4.54,4.23,6.09,6.91
113b34f0,9ea02138,3923bcaf,b86f11b2,ee430f9a,be20f510,0,4.05,4.56,2.93,4.26,3.76,4.1,4.57,3.78,5.05,5.07,4.15,3.77,4.81,4.12,3.4,4.14,3.2,2.74,5.3,4.21,4.85,4.02,3.32,4.79,4.37,4.18,3.58,4.34,4.39,3.92,5.62,6.75
26d0d233,9ea02138,3923bcaf,cf1e3df3,8dbf631d,2512e2af,0,4.09,4.41,2.84,4.27,3.57,4.12,4.29,3.64,5.05,4.91,4.36,3.8,4.65,3.87,3.37,4.19,3.14,2.71,5.28,4.19,4.96,3.89,3.17,4.54,4.41,3.95,3.64,4.13,4.34,4.0,5.86,6.71
2c7b1ffe,9ea02138,3923bcaf,869eed1f,88d1b9c4,3700ea42,0,3.99,4.8,2.9,4.42,3.75,4.13,4.56,3.75,5.21,5.08,4.29,3.86,4.86,4.24,3.34,4.36,3.31,2.67,5.39,4.51,5.15,3.87,3.35,4.79,4.48,4.19,3.76,4.45,4.41,3.97,5.95,6.84
2d1eb579,9ea02138,3923bcaf,9ff54b41,689db19b,6275878b,0,4.02,4.64,2.87,4.37,3.5,4.25,4.43,3.6,5.02,4.93,4.29,3.76,4.82,3.94,3.41,4.23,3.16,2.71,5.25,4.26,5.01,3.88,3.23,4.86,4.4,4.06,3.8,4.32,4.34,4.02,5.97,6.69
318a6f0c,9ea02138,b9680125,27846cff,6acb08b8,ff708c39,0,4.03,4.63,2.93,4.49,3.73,4.17,4.36,3.92,5.41,5.11,4.43,3.9,4.97,4.22,3.36,4.28,3.27,2.67,5.49,4.37,5.17,3.96,3.25,4.8,4.47,4.14,3.92,4.46,4.44,4.01,6.13,7.0
4942ce7b,9ea02138,b9680125,b675c517,f7c562e4,b58ba07e,0,3.97,4.64,2.94,4.15,3.59,3.91,4.43,3.77,5.05,5.08,4.23,3.97,4.67,4.11,3.17,4.27,3.18,2.54,5.29,4.4,4.76,3.66,3.17,4.64,4.3,4.05,3.42,4.26,4.32,3.85,5.66,6.74
625f4354,9ea02138,3923bcaf,d874325e,d78b2f83,1b20bd8d,0,4.02,4.45,2.79,4.39,3.66,4.07,4.37,3.76,5.35,5.26,4.34,3.79,4.85,4.07,3.2,4.12,3.11,2.63,5.47,4.48,5.12,3.88,3.26,4.66,4.46,3.98,3.79,4.35,4.24,4.14,6.21,6.9
727de8da,9ea02138,0396b913,d61358e8,f9095c29,d3428ef7,0,3.95,4.58,2.92,4.32,3.73,4.14,4.4,3.78,5.28,5.17,4.24,3.92,4.93,4.25,3.28,4.1,3.22,2.64,5.48,4.45,5.12,3.88,3.23,4.96,4.27,4.15,3.71,4.55,4.22,4.04,5.97,6.91
75bec41c,9ea02138,032dc16f,c2c71f01,6148179d,f9bfb833,0,4.2,4.56,2.89,4.1,3.37,4.26,4.18,3.66,4.95,4.84,4.29,3.8,4.42,3.63,3.31,4.05,3.03,2.65,5.2,4.09,4.64,4.04,3.08,4.67,4.31,3.99,3.49,4.0,4.29,3.91,5.75,6.81
7825ec1c,9ea02138,032dc16f,9bb12149,d1f66074,ba3c6bbb,0,3.95,4.36,2.96,4.27,3.58,4.25,4.22,3.71,5.16,4.89,4.35,3.93,4.82,4.05,3.37,4.15,3.11,2.67,5.61,4.36,5.01,3.89,3.15,4.86,4.2,4.1,3.72,4.3,4.26,4.04,5.79,7.1
794f3cc7,9ea02138,124ea26a,c34b300f,6216a268,fd5ea934,0,4.08,4.67,2.9,4.51,3.79,4.22,4.56,3.97,5.38,5.22,4.38,3.94,5.05,4.19,3.34,4.57,3.29,2.64,5.49,4.64,5.11,3.89,3.22,4.77,4.55,4.12,3.86,4.43,4.54,3.99,6.0,6.94
