information_society_indicator,unit_of_measure,nace_rev2,size_class,time_frequency,indicator_id
"Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TANY]",Percentage of enterprises [PC_ENT],"Manufacturing, electricity, gas, steam and air conditioning supply; water supply and construction [C-F]",10 persons employed or more [GE10],Annual [A],1
"Enterprises don't use any of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TX]",Percentage of enterprises [PC_ENT],"Manufacturing, electricity, gas, steam and air conditioning supply; water supply and construction [C-F]",10 persons employed or more [GE10],Annual [A],2
"Enterprises use at least two of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE2]",Percentage of enterprises [PC_ENT],"Manufacturing, electricity, gas, steam and air conditioning supply; water supply and construction [C-F]",10 persons employed or more [GE10],Annual [A],3
"Enterprises use at least three of the  AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE3]",Percentage of enterprises [PC_ENT],"Manufacturing, electricity, gas, steam and air conditioning supply; water supply and construction [C-F]",10 persons employed or more [GE10],Annual [A],4
"Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TANY]",Percentage of enterprises [PC_ENT],"Manufacturing, electricity, gas, steam and air conditioning; water supply, sewerage, waste management and remediation activities [C-E]",10 persons employed or more [GE10],Annual [A],5
"Enterprises don't use any of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TX]",Percentage of enterprises [PC_ENT],"Manufacturing, electricity, gas, steam and air conditioning; water supply, sewerage, waste management and remediation activities [C-E]",10 persons employed or more [GE10],Annual [A],6
"Enterprises use at least two of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE2]",Percentage of enterprises [PC_ENT],"Manufacturing, electricity, gas, steam and air conditioning; water supply, sewerage, waste management and remediation activities [C-E]",10 persons employed or more [GE10],Annual [A],7
"Enterprises use at least three of the  AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE3]",Percentage of enterprises [PC_ENT],"Manufacturing, electricity, gas, steam and air conditioning; water supply, sewerage, waste management and remediation activities [C-E]",10 persons employed or more [GE10],Annual [A],8
"Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TANY]",Percentage of enterprises [PC_ENT],Manufacturing [C],10 persons employed or more [GE10],Annual [A],9
"Enterprises don't use any of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TX]",Percentage of enterprises [PC_ENT],Manufacturing [C],10 persons employed or more [GE10],Annual [A],10
"Enterprises use at least two of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE2]",Percentage of enterprises [PC_ENT],Manufacturing [C],10 persons employed or more [GE10],Annual [A],11
"Enterprises use at least three of the  AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE3]",Percentage of enterprises [PC_ENT],Manufacturing [C],10 persons employed or more [GE10],Annual [A],12
"Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TANY]",Percentage of enterprises [PC_ENT],"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector [C10-S951_X_K]",10 persons employed or more [GE10],Annual [A],13
"Enterprises don't use any of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TX]",Percentage of enterprises [PC_ENT],"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector [C10-S951_X_K]",10 persons employed or more [GE10],Annual [A],14
"Enterprises use at least two of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE2]",Percentage of enterprises [PC_ENT],"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector [C10-S951_X_K]",10 persons employed or more [GE10],Annual [A],15
"Enterprises use at least three of the  AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE3]",Percentage of enterprises [PC_ENT],"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector [C10-S951_X_K]",10 persons employed or more [GE10],Annual [A],16
"Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TANY]",Percentage of enterprises [PC_ENT],"Electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities [D_E]",10 persons employed or more [GE10],Annual [A],17
"Enterprises don't use any of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TX]",Percentage of enterprises [PC_ENT],"Electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities [D_E]",10 persons employed or more [GE10],Annual [A],18
"Enterprises use at least two of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE2]",Percentage of enterprises [PC_ENT],"Electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities [D_E]",10 persons employed or more [GE10],Annual [A],19
"Enterprises use at least three of the  AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE3]",Percentage of enterprises [PC_ENT],"Electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities [D_E]",10 persons employed or more [GE10],Annual [A],20
"Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TANY]",Percentage of enterprises [PC_ENT],Construction [F],10 persons employed or more [GE10],Annual [A],21
"Enterprises don't use any of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TX]",Percentage of enterprises [PC_ENT],Construction [F],10 persons employed or more [GE10],Annual [A],22
"Enterprises use at least two of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR [E_AI_TGE2]",Percentage of enterprises [PC_ENT],Construction [F],10 persons employed or more [GE10],Annual [A],23
