country_id,indicator_id,year,value,dataset,last_updated,data_extracted_on,sheet_name
1,1,2023,5.51,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
2,1,2023,6.21,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
3,1,2023,10.98,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
4,1,2023,11.22,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
5,1,2023,12.24,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
6,1,2023,7.89,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
7,1,2023,2.23,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
8,1,2023,,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
9,1,2023,,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
10,1,2023,,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
11,1,2023,,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
12,1,2023,,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
13,1,2023,,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
14,1,2023,,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
15,1,2023,,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
16,1,2023,4.65,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
17,1,2023,9.67,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
18,1,2023,9.67,Artificial intelligence by NACE Rev. 2 activity and NUTS 2 region [isoc_r_eb_ain2$defaultview],12/12/2024 11:00,06/10/2025 15:34:19 from [ESTAT],Sheet 1
