OptionID,QuestionID,OptionText
O324d68,Q1,How important are AI applications to your enterprise’s core business processes?
O0af403,Q1,Critically important
O46bc5b,Q1,One among a number of important considerations
O7d2dcd,Q1,Of minor importance
O2a2557,Q2,In approximately which year was your enterprise incorporated?
O0d1e64,Q2,1950 or earlier
Oc26f83,Q2,1950-1960
O23bb8a,Q2,1960-1970
O05eba6,Q2,1970-1980
O0fd535,Q2,1980-1990
Oc6894a,Q2,1990-2000
Obf9b01,Q2,2000-2010
O3cfb0c,Q2,2010-2020
O1d4634,Q2,After 2020
O258c82,Q3,"In the past 12 months, has your enterprise collected or otherwise acquired data from any of the following sources?"
O8e390b,Q3,Data collected internally from processes and staff
O7d18ab,Q3,Data collected from customers or suppliers
O920c88,Q3,"Data from private data providers, such as organisations dedicated to producing and selling data"
Oc49f0a,Q3,Data from a partner enterprise
Oee95e3,Q3,Data from a research institute
Oc9a5b5,Q3,Data from the public sector
O7b8e27,Q4,"Does your enterprise use a data management solution, such as a data lake?"
O39909e,Q4,Yes
Ofca2bf,Q4,No
O9935ec,Q4,We are unfamiliar with these concepts
O9e8028,Q5,Do any of the following positions exist in your enterprise structure?
O6adf8c,Q5,Yes
O479bef,Q5,No
Oada881,Q5,Statistician / Data engineer
O5a4666,Q5,Machine learning engineer / AI developer
O6af2d6,Q5,Data scientist
O54fcf2,Q5,AI project manager
Oa640c0,Q5,Data protection officer
O73a999,Q5,AI risk manager / AI ethics officer / Digital trust and safety officer or equivalent
Obdead9,Q5,Other position/title with responsibilities for AI
Oa9e69a,Q5,Chief information officer / Chief digital officer or equivalent
Oce769e,Q5,Chief AI officer
Ob3777d,Q5,Chief analytics officer / Chief data officer / Head of data science or equivalent
O026075,Q6,"In the past 12 months, have any of the following conditions limited the use of cloud computing in your enterprise?"
O2a8556,Q6,Yes
Of9f2f2,Q6,No
Oe8134f,Q6,High cost of retooling systems
Oe21c47,Q6,Concerns about corporate compliance
O4a484d,Q6,Concerns about customisation of applications
O352e71,Q6,Concerns about network stability
O21d090,Q6,Lack of availability of cloud computing services
O57f637,Q6,Do not see the advantages of cloud computing
O2a3702,Q6,Lack of support from top management
Oc112bc,Q6,Lack of IT skills
O2c2205,Q6,The enterprise uses cloud computing without difficulty
O4c0181,Q7,"In the past 12 months, has your enterprise implemented any of the following practices to develop artificial intelligence?"
O921e33,Q7,Yes
O8c58a1,Q7,No
O2c5294,Q7,Training employees
