Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,837c1bf9-4be1-4545-8666-a300d5d7f17a
CAN,50-249,Manufacturing,2cbd68ec-c57c-42be-b32c-f48bd94fa5b9
CAN,250+,ICT,84ad7cd3-b513-4a2b-aab9-eab76220c2e0
CAN,250+,Manufacturing,a39d3d9b-6e52-4dc5-9191-499b2896c98e
DEU,50-249,ICT,7e9945f7-c464-46fc-858e-578c28e4c9cd
DEU,50-249,Manufacturing,abde2a28-f0e8-4ea5-8ae3-f030d18414a9
DEU,250+,ICT,bb6fe196-0cf7-4c7f-88d4-e93e9525943f
DEU,250+,Manufacturing,8901574f-da16-48c3-a906-86f53b7d0d53
FRA,50-249,ICT,fddfb4ea-b041-4b9c-9fd8-b42de3604d44
FRA,50-249,Manufacturing,7a0148ba-4678-4179-b912-c12f477ce890
FRA,250+,ICT,722fa717-6cf7-4f72-ad4f-7fca4dfe7f43
FRA,250+,Manufacturing,fa78d4b3-f0a3-493f-9907-b682c5f82a89
GBR,50-249,ICT,8c889912-b4f2-48e6-95c1-9acd565647ef
GBR,50-249,Manufacturing,d7c54bfb-3fc6-43ad-923f-e3f7225f4039
GBR,250+,ICT,9479209f-4462-4753-ab61-da251e8ae41e
GBR,250+,Manufacturing,97d8f187-317e-467c-8dc8-3cc07ff3614d
ITA,50-249,ICT,774d7272-58a5-4458-b089-35170348eca9
ITA,50-249,Manufacturing,3f9bb7da-b993-4fb0-875d-cd1afbe47333
ITA,250+,ICT,6f9f5c38-c445-4499-9e9b-08f8afd54f69
ITA,250+,Manufacturing,caa29e85-c4f9-48ac-b7d0-d267bf12d4f4
JPN,50-249,ICT,12052759-cd48-456c-af7c-31fe75f2a97d
JPN,50-249,Manufacturing,17f0522c-8d02-4b8a-9574-d2ec5add9953
JPN,250+,ICT,e7b80c6b-a4e4-4ce7-aa51-f3b818b1a80e
JPN,250+,Manufacturing,11e03eef-1814-4184-aff3-e774b0e71013
USA,50-249,ICT,a9b29338-b49e-4cab-b45a-485a5b45bd3c
USA,50-249,Manufacturing,cbb573ab-94b0-4a41-a96e-c78056d1dd02
USA,250+,ICT,5451b290-1dea-4aa0-af10-919d166155b9
USA,250+,Manufacturing,3ddfc825-f4cc-4826-b723-daf5597a7098
