dimension_id,indicator,value,table_id
837c1bf9-4be1-4545-8666-a300d5d7f17a,Access to information/advice (No),8 (26.7%),4343f265-4439-4ad1-97be-d75b144904ee
2cbd68ec-c57c-42be-b32c-f48bd94fa5b9,Access to information/advice (No),2 (6.7%),4343f265-4439-4ad1-97be-d75b144904ee
84ad7cd3-b513-4a2b-aab9-eab76220c2e0,Access to information/advice (No),12 (41.4%),4343f265-4439-4ad1-97be-d75b144904ee
a39d3d9b-6e52-4dc5-9191-499b2896c98e,Access to information/advice (No),8 (26.7%),4343f265-4439-4ad1-97be-d75b144904ee
7e9945f7-c464-46fc-858e-578c28e4c9cd,Access to information/advice (No),10 (33.3%),4343f265-4439-4ad1-97be-d75b144904ee
abde2a28-f0e8-4ea5-8ae3-f030d18414a9,Access to information/advice (No),6 (20.0%),4343f265-4439-4ad1-97be-d75b144904ee
bb6fe196-0cf7-4c7f-88d4-e93e9525943f,Access to information/advice (No),11 (36.7%),4343f265-4439-4ad1-97be-d75b144904ee
8901574f-da16-48c3-a906-86f53b7d0d53,Access to information/advice (No),14 (46.7%),4343f265-4439-4ad1-97be-d75b144904ee
fddfb4ea-b041-4b9c-9fd8-b42de3604d44,Access to information/advice (No),8 (26.7%),4343f265-4439-4ad1-97be-d75b144904ee
7a0148ba-4678-4179-b912-c12f477ce890,Access to information/advice (No),2 (6.7%),4343f265-4439-4ad1-97be-d75b144904ee
722fa717-6cf7-4f72-ad4f-7fca4dfe7f43,Access to information/advice (No),10 (33.3%),4343f265-4439-4ad1-97be-d75b144904ee
fa78d4b3-f0a3-493f-9907-b682c5f82a89,Access to information/advice (No),10 (33.3%),4343f265-4439-4ad1-97be-d75b144904ee
8c889912-b4f2-48e6-95c1-9acd565647ef,Access to information/advice (No),9 (30.0%),4343f265-4439-4ad1-97be-d75b144904ee
d7c54bfb-3fc6-43ad-923f-e3f7225f4039,Access to information/advice (No),4 (13.3%),4343f265-4439-4ad1-97be-d75b144904ee
9479209f-4462-4753-ab61-da251e8ae41e,Access to information/advice (No),10 (35.7%),4343f265-4439-4ad1-97be-d75b144904ee
97d8f187-317e-467c-8dc8-3cc07ff3614d,Access to information/advice (No),7 (24.1%),4343f265-4439-4ad1-97be-d75b144904ee
774d7272-58a5-4458-b089-35170348eca9,Access to information/advice (No),8 (26.7%),4343f265-4439-4ad1-97be-d75b144904ee
3f9bb7da-b993-4fb0-875d-cd1afbe47333,Access to information/advice (No),8 (26.7%),4343f265-4439-4ad1-97be-d75b144904ee
6f9f5c38-c445-4499-9e9b-08f8afd54f69,Access to information/advice (No),5 (17.2%),4343f265-4439-4ad1-97be-d75b144904ee
caa29e85-c4f9-48ac-b7d0-d267bf12d4f4,Access to information/advice (No),11 (36.7%),4343f265-4439-4ad1-97be-d75b144904ee
12052759-cd48-456c-af7c-31fe75f2a97d,Access to information/advice (No),6 (20.7%),4343f265-4439-4ad1-97be-d75b144904ee
17f0522c-8d02-4b8a-9574-d2ec5add9953,Access to information/advice (No),4 (13.3%),4343f265-4439-4ad1-97be-d75b144904ee
e7b80c6b-a4e4-4ce7-aa51-f3b818b1a80e,Access to information/advice (No),3 (10.0%),4343f265-4439-4ad1-97be-d75b144904ee
