Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,849d0f30-6095-40cc-91a5-a819689f5785
CAN,50-249,Manufacturing,fbd16758-a8d1-40dd-aefe-378bc720a86e
CAN,250+,ICT,94388ac5-70bd-452d-9552-37adcbfda3e2
CAN,250+,Manufacturing,3079ea2f-631c-4fb8-8051-5c0e9505d76e
DEU,50-249,ICT,b4908cc5-bc85-4b01-a9de-748a3f6f8890
DEU,50-249,Manufacturing,969c7813-bcda-4c4a-87b6-f7827edf4d81
DEU,250+,ICT,644cff71-d2bf-4acb-b75b-3865e744916e
DEU,250+,Manufacturing,2af167e2-1a15-433b-84a8-93fdaa32559b
FRA,50-249,ICT,6c6a5251-8287-4bd5-a7e2-50529e1cc65e
FRA,50-249,Manufacturing,62c85101-27c6-4fc1-af99-ecea8fdb57d1
FRA,250+,ICT,bee63aa1-a812-4adc-bb8d-154b78e97bad
FRA,250+,Manufacturing,b79e6ceb-0806-4f43-8d98-940499b5ca67
GBR,50-249,ICT,641d4a92-106b-42e2-9590-dee5eb9bea95
GBR,50-249,Manufacturing,f176278f-10ea-42e9-b50b-6ed648100b19
GBR,250+,ICT,93dec5e7-8a24-49ee-b7c2-e576df73a35e
GBR,250+,Manufacturing,a07d728b-a45e-42d6-854a-6c72f6ef1f2c
ITA,50-249,ICT,8484b079-3161-4531-95dd-bdcdf8c2f9b0
ITA,50-249,Manufacturing,aa27cbda-a04c-4622-b401-9c6108afee13
ITA,250+,ICT,b0632982-845e-4ccd-9fff-1b55ceb29490
ITA,250+,Manufacturing,e0665ba1-c7c8-42fe-b51b-7180737eb316
JPN,50-249,ICT,e8eae7bc-acb1-497a-90fe-7de64840d3d3
JPN,50-249,Manufacturing,3bf30c0e-fa68-4778-bf89-897ce35d6d23
JPN,250+,ICT,3da995b1-904b-42e3-8914-cae2d5dcb979
JPN,250+,Manufacturing,697be980-8974-4689-949a-b0cd6ccf5652
USA,50-249,ICT,7c35d066-180e-48da-acd9-2d307f15c0b6
USA,50-249,Manufacturing,f4237345-ff53-4617-b19c-7b92e3820b45
USA,250+,ICT,ced531c6-72ff-46de-8bc4-c09996537712
USA,250+,Manufacturing,9031db4e-bb12-4faf-8d15-0eb039cd3de3
