dimension_id,indicator,value,table_id
849d0f30-6095-40cc-91a5-a819689f5785,With university faculty/PhD/postdocs (No),12 (40.0%),d1128dd7-2281-4584-bc27-e20fb0883933
fbd16758-a8d1-40dd-aefe-378bc720a86e,With university faculty/PhD/postdocs (No),9 (30.0%),d1128dd7-2281-4584-bc27-e20fb0883933
94388ac5-70bd-452d-9552-37adcbfda3e2,With university faculty/PhD/postdocs (No),19 (63.3%),d1128dd7-2281-4584-bc27-e20fb0883933
3079ea2f-631c-4fb8-8051-5c0e9505d76e,With university faculty/PhD/postdocs (No),19 (63.3%),d1128dd7-2281-4584-bc27-e20fb0883933
b4908cc5-bc85-4b01-a9de-748a3f6f8890,With university faculty/PhD/postdocs (No),13 (43.3%),d1128dd7-2281-4584-bc27-e20fb0883933
969c7813-bcda-4c4a-87b6-f7827edf4d81,With university faculty/PhD/postdocs (No),13 (43.3%),d1128dd7-2281-4584-bc27-e20fb0883933
644cff71-d2bf-4acb-b75b-3865e744916e,With university faculty/PhD/postdocs (No),6 (20.0%),d1128dd7-2281-4584-bc27-e20fb0883933
2af167e2-1a15-433b-84a8-93fdaa32559b,With university faculty/PhD/postdocs (No),6 (20.0%),d1128dd7-2281-4584-bc27-e20fb0883933
6c6a5251-8287-4bd5-a7e2-50529e1cc65e,With university faculty/PhD/postdocs (No),14 (46.7%),d1128dd7-2281-4584-bc27-e20fb0883933
62c85101-27c6-4fc1-af99-ecea8fdb57d1,With university faculty/PhD/postdocs (No),4 (13.3%),d1128dd7-2281-4584-bc27-e20fb0883933
bee63aa1-a812-4adc-bb8d-154b78e97bad,With university faculty/PhD/postdocs (No),9 (30.0%),d1128dd7-2281-4584-bc27-e20fb0883933
b79e6ceb-0806-4f43-8d98-940499b5ca67,With university faculty/PhD/postdocs (No),7 (23.3%),d1128dd7-2281-4584-bc27-e20fb0883933
641d4a92-106b-42e2-9590-dee5eb9bea95,With university faculty/PhD/postdocs (No),18 (60.0%),d1128dd7-2281-4584-bc27-e20fb0883933
f176278f-10ea-42e9-b50b-6ed648100b19,With university faculty/PhD/postdocs (No),13 (43.3%),d1128dd7-2281-4584-bc27-e20fb0883933
93dec5e7-8a24-49ee-b7c2-e576df73a35e,With university faculty/PhD/postdocs (No),16 (53.3%),d1128dd7-2281-4584-bc27-e20fb0883933
a07d728b-a45e-42d6-854a-6c72f6ef1f2c,With university faculty/PhD/postdocs (No),15 (50.0%),d1128dd7-2281-4584-bc27-e20fb0883933
8484b079-3161-4531-95dd-bdcdf8c2f9b0,With university faculty/PhD/postdocs (No),13 (43.3%),d1128dd7-2281-4584-bc27-e20fb0883933
aa27cbda-a04c-4622-b401-9c6108afee13,With university faculty/PhD/postdocs (No),16 (53.3%),d1128dd7-2281-4584-bc27-e20fb0883933
b0632982-845e-4ccd-9fff-1b55ceb29490,With university faculty/PhD/postdocs (No),12 (40.0%),d1128dd7-2281-4584-bc27-e20fb0883933
e0665ba1-c7c8-42fe-b51b-7180737eb316,With university faculty/PhD/postdocs (No),12 (40.0%),d1128dd7-2281-4584-bc27-e20fb0883933
