dimension_id,indicator,value,table_id
b29d789b-5830-42b7-a25a-fe0ce2b3c9b2,Difficulties estimating returns on AI investment (No),13 (43.3%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
96f96d3d-f060-4660-a414-9d56df8733cd,Difficulties estimating returns on AI investment (No),10 (33.3%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
64c4e389-a96e-4840-89fa-7e476c6f69ae,Difficulties estimating returns on AI investment (No),15 (50.0%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
61d18ef3-16aa-4627-bb03-fbd93f34292f,Difficulties estimating returns on AI investment (No),14 (46.7%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
affb05af-df20-4eac-a7ea-c695734228e5,Difficulties estimating returns on AI investment (No),12 (40.0%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
b6676f45-0515-4afc-8616-084d72ab8a87,Difficulties estimating returns on AI investment (No),8 (26.7%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
3ed6e3b7-32e1-435f-b0b3-b0fc3fc521d5,Difficulties estimating returns on AI investment (No),16 (53.3%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
2d4bf52e-9dfe-47aa-ab0c-c0984c52a3b9,Difficulties estimating returns on AI investment (No),11 (36.7%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
43c811b7-d10d-4ed4-a956-ad8401b541fc,Difficulties estimating returns on AI investment (No),17 (56.7%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
a454bdf2-fd20-4bc6-9698-0be5a65943a5,Difficulties estimating returns on AI investment (No),5 (16.7%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
d2de4bc7-94cc-45d8-9946-fc27a58416b0,Difficulties estimating returns on AI investment (No),18 (60.0%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
38e61a98-b8a9-43f3-a4b8-753fbf1227d2,Difficulties estimating returns on AI investment (No),8 (27.6%),08647e85-e7f6-4c54-9c9b-3e5898b7e267
