Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,3cfe1277-f845-4f81-bab0-1999ab2e0135
CAN,50-249,Manufacturing,2530244e-8208-4057-be0c-20dbdda45041
CAN,250+,ICT,01caa11d-ba7d-4004-9447-83487999bce5
CAN,250+,Manufacturing,b3f5c957-0676-4db1-99ae-f6310e82b1f5
DEU,50-249,ICT,fc59f755-6f3f-4e0b-9935-f08a5aabf04c
DEU,50-249,Manufacturing,7c31a4ec-84ff-4fbe-bf8a-4166a0816589
DEU,250+,ICT,3405ea03-a8f3-4bb5-8f08-78c5ab70e06b
DEU,250+,Manufacturing,ebfc7e8e-9844-48f2-a277-d0ad3948ac89
FRA,50-249,ICT,88131936-79d5-4a5b-a4b9-e61c77c57c43
FRA,50-249,Manufacturing,13cc53d4-595d-4ffe-a17b-d821d14d4535
FRA,250+,ICT,2db33e93-bf05-49af-8f40-9eb06ddcbec8
FRA,250+,Manufacturing,e48e96e6-498b-44e5-b9eb-cfe0b4ef29e1
GBR,50-249,ICT,eabbc1ac-5196-439d-b59c-9a33982887d8
GBR,50-249,Manufacturing,ad056889-0808-461d-9268-a4cc44362db9
GBR,250+,ICT,272b5ace-eec0-4330-83cc-3593f0aa2929
GBR,250+,Manufacturing,d6117385-a359-427e-98bf-aca6b92e8281
ITA,50-249,ICT,33f8ff90-790d-4232-b0f0-927f5d73b8db
ITA,50-249,Manufacturing,b50146b4-f48e-4c68-9a63-7f98cb44454b
ITA,250+,ICT,10807747-60b4-4048-9dab-e166d198878c
ITA,250+,Manufacturing,da6b2b74-d10a-4604-bff4-a4bb764f603e
JPN,50-249,ICT,db5170a9-b1d3-4c5f-91b5-d36e0baee320
JPN,50-249,Manufacturing,05ace092-3e74-4f3d-82c1-ba70958c8bfc
JPN,250+,ICT,f22fac49-b861-4bdf-9237-5535411bb7ae
JPN,250+,Manufacturing,1111cacb-c092-4cda-937a-d3200cfe5aec
USA,50-249,ICT,01aec558-d832-46d7-9dc2-43b35a6f5da3
USA,50-249,Manufacturing,e77c0f04-5b2f-40fd-b41b-baba826306b8
USA,250+,ICT,787e3257-5fd0-4035-8947-b15ef2b94779
USA,250+,Manufacturing,283e3d84-51e7-4e8d-a9ac-e5c29483925a
