Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,aa255505-6efc-493d-b9b2-e86d8cd910d5
CAN,50-249,Manufacturing,2465bcd7-7ee2-469f-9e4f-1de8fc1b754a
CAN,250+,ICT,a43fcbbf-ed0b-4b21-9753-ca748afb3f40
CAN,250+,Manufacturing,bac77dd1-5438-4630-9ca2-9ed1c7cf3f19
DEU,50-249,ICT,0fead272-e4c5-469e-9eff-4663d72f93e9
DEU,50-249,Manufacturing,b0cf748c-e1b3-4abc-a154-158019088aa8
DEU,250+,ICT,4912783c-b3c7-4dc8-88f9-b7cf09660489
DEU,250+,Manufacturing,98565010-0bc5-4705-93bb-bdf4396b99f3
FRA,50-249,ICT,1442638a-7d8e-4326-8373-e1fc03d9956f
FRA,50-249,Manufacturing,4e375b16-ff81-43bc-b4a0-b735e77be4a3
FRA,250+,ICT,038e669a-98fe-43be-acc7-5215a46a97cf
FRA,250+,Manufacturing,aecc852b-4004-41a8-985e-594a4dcc669c
GBR,50-249,ICT,87c45dcc-d293-4426-b54a-6d5405aa0e7f
GBR,50-249,Manufacturing,a77054b5-e19f-4c0d-bbd6-c5bd2c00ebf0
GBR,250+,ICT,e05eef23-6385-45b9-8262-382c6481f0e1
GBR,250+,Manufacturing,ac047fc7-7ec1-42fe-ad10-8ce38a63d451
ITA,50-249,ICT,e12224e4-b80f-42d3-ac72-620173708255
ITA,50-249,Manufacturing,9038060e-5a29-4a84-9a7b-cc33aeba70e9
ITA,250+,ICT,d2625667-4d8e-4a49-a0e8-ad4ef6c426f6
ITA,250+,Manufacturing,4cc57a99-af12-421a-94f5-c04549af9761
JPN,50-249,ICT,e9b6b998-88dd-4c4d-a3ac-9861df4d5ce1
JPN,50-249,Manufacturing,958af6a4-b3b6-4c8d-8bdf-a305e16c1841
JPN,250+,ICT,d275eae1-6180-4ac2-b264-8d02a03e6636
JPN,250+,Manufacturing,56a239d7-360d-419c-b069-d39bb5e6f467
USA,50-249,ICT,42a9e0bb-c746-41ad-b057-5f7bf12786c1
USA,50-249,Manufacturing,eb7a32b5-86a3-43a8-8c87-654c72faf70e
USA,250+,ICT,06a02577-d51b-4506-b483-faebd79c5fab
USA,250+,Manufacturing,696ca05b-5dab-4d63-9f71-d32faaa52756
