dimension_id,indicator,value,table_id
aa255505-6efc-493d-b9b2-e86d8cd910d5,No,14 (46.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
2465bcd7-7ee2-469f-9e4f-1de8fc1b754a,No,5 (16.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
a43fcbbf-ed0b-4b21-9753-ca748afb3f40,No,13 (43.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
bac77dd1-5438-4630-9ca2-9ed1c7cf3f19,No,20 (66.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
0fead272-e4c5-469e-9eff-4663d72f93e9,No,14 (46.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
b0cf748c-e1b3-4abc-a154-158019088aa8,No,14 (46.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
4912783c-b3c7-4dc8-88f9-b7cf09660489,No,22 (73.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
98565010-0bc5-4705-93bb-bdf4396b99f3,No,12 (40.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
1442638a-7d8e-4326-8373-e1fc03d9956f,No,14 (46.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
4e375b16-ff81-43bc-b4a0-b735e77be4a3,No,11 (36.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
038e669a-98fe-43be-acc7-5215a46a97cf,No,15 (50.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
aecc852b-4004-41a8-985e-594a4dcc669c,No,14 (46.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
87c45dcc-d293-4426-b54a-6d5405aa0e7f,No,13 (43.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
a77054b5-e19f-4c0d-bbd6-c5bd2c00ebf0,No,17 (56.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
e05eef23-6385-45b9-8262-382c6481f0e1,No,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
ac047fc7-7ec1-42fe-ad10-8ce38a63d451,No,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
e12224e4-b80f-42d3-ac72-620173708255,No,13 (43.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
9038060e-5a29-4a84-9a7b-cc33aeba70e9,No,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
d2625667-4d8e-4a49-a0e8-ad4ef6c426f6,No,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
4cc57a99-af12-421a-94f5-c04549af9761,No,22 (73.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
e9b6b998-88dd-4c4d-a3ac-9861df4d5ce1,No,15 (50.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
958af6a4-b3b6-4c8d-8bdf-a305e16c1841,No,9 (30.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
d275eae1-6180-4ac2-b264-8d02a03e6636,No,12 (40.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
56a239d7-360d-419c-b069-d39bb5e6f467,No,10 (33.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
42a9e0bb-c746-41ad-b057-5f7bf12786c1,No,17 (56.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
eb7a32b5-86a3-43a8-8c87-654c72faf70e,No,22 (73.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
06a02577-d51b-4506-b483-faebd79c5fab,No,18 (60.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
696ca05b-5dab-4d63-9f71-d32faaa52756,No,15 (50.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
aa255505-6efc-493d-b9b2-e86d8cd910d5,Yes,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
2465bcd7-7ee2-469f-9e4f-1de8fc1b754a,Yes,25 (83.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
a43fcbbf-ed0b-4b21-9753-ca748afb3f40,Yes,17 (56.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
bac77dd1-5438-4630-9ca2-9ed1c7cf3f19,Yes,10 (33.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
0fead272-e4c5-469e-9eff-4663d72f93e9,Yes,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
b0cf748c-e1b3-4abc-a154-158019088aa8,Yes,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
4912783c-b3c7-4dc8-88f9-b7cf09660489,Yes,8 (26.7%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
98565010-0bc5-4705-93bb-bdf4396b99f3,Yes,18 (60.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
1442638a-7d8e-4326-8373-e1fc03d9956f,Yes,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
4e375b16-ff81-43bc-b4a0-b735e77be4a3,Yes,19 (63.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
038e669a-98fe-43be-acc7-5215a46a97cf,Yes,15 (50.0%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
aecc852b-4004-41a8-985e-594a4dcc669c,Yes,16 (53.3%),69c1d0b1-12d4-4c0f-951e-5c76bb49c878
