Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,434f9744-467c-408f-826e-0c9e40322899
CAN,50-249,Manufacturing,38aa6465-5f14-415b-91bb-a94ac6a72699
CAN,250+,ICT,059e6b71-931b-4727-b6b3-f1aec40961f7
CAN,250+,Manufacturing,824fae6e-26d7-495e-85d8-95a73c315e1c
DEU,50-249,ICT,b32c56f1-a178-490e-9e50-ddf64c3943b6
DEU,50-249,Manufacturing,5b5c0dbd-40bf-425b-bc65-ee8328844b0e
DEU,250+,ICT,693a56fa-e259-4939-8d08-f8980509d741
DEU,250+,Manufacturing,a384c890-c61e-49b7-8398-cbfd04478098
FRA,50-249,ICT,4e897b96-4802-431e-a8ee-7ad4483de3d3
FRA,50-249,Manufacturing,8fb34692-78b0-4a9c-84e2-d77c0a5179ee
FRA,250+,ICT,bf9fc6a9-f2f2-42fb-b14c-5839c8f4e52f
FRA,250+,Manufacturing,2d6c8736-1b04-4151-977b-503438d96f34
GBR,50-249,ICT,88a04e69-b0c6-468b-a98d-6058a488f398
GBR,50-249,Manufacturing,dfbceb7c-a226-4890-bc93-5a93e1743664
GBR,250+,ICT,8b5ece64-2c96-40b7-bbd7-d688ab8fb6b0
GBR,250+,Manufacturing,fe086937-a927-400c-864d-9915db356a30
ITA,50-249,ICT,88a4b7a5-a934-4c26-891d-f1c3916a32d4
ITA,50-249,Manufacturing,b3d8040a-00aa-4dc2-9cd5-17ac0a369da0
ITA,250+,ICT,1f6a20ee-77f0-40b0-a081-0170d036983f
ITA,250+,Manufacturing,5bc01aea-ee10-47d9-ac78-f156c0af41fe
JPN,50-249,ICT,0cfe9fcb-ae47-456e-88d5-8f7ea8e67458
JPN,50-249,Manufacturing,df485f7d-5537-4c98-a07d-5b0d059d9a58
JPN,250+,ICT,43ae8cb5-58c5-424a-b3fd-e7f3aacb4d03
JPN,250+,Manufacturing,74e0fa6d-d03a-4e00-970e-0c481ae66af7
USA,50-249,ICT,6f74d470-9d88-45ed-a0af-f37eea064675
USA,50-249,Manufacturing,dc4a31a6-5b33-4696-885a-fcbff2b7bdf0
USA,250+,ICT,cff720df-29fe-438e-86ff-fb3c178968a8
USA,250+,Manufacturing,01b6f037-6db9-481f-9d0d-ec41a97a8a4d
