Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,415f47f3-9595-4517-94eb-643157558605
CAN,50-249,Manufacturing,39673aa7-502f-4e81-b1c1-5ce7b4deece0
CAN,250+,ICT,4805bd66-f273-45de-8370-bf0c96197719
CAN,250+,Manufacturing,9b1105cd-6ef3-4d9d-ac8c-6338a4119b15
DEU,50-249,ICT,73c81162-731d-4d10-90d2-39342aeed3c9
DEU,50-249,Manufacturing,14bbc5bc-af15-4672-ab75-40f8159bc9ee
DEU,250+,ICT,7d2fb592-9eb8-4025-8800-71bc18c8708f
DEU,250+,Manufacturing,7b9a0078-0675-4460-ae4d-9fda8f3e1cf6
FRA,50-249,ICT,1e2afe4d-1f6a-4a45-8915-afd077deca04
FRA,50-249,Manufacturing,ff61636f-fd3d-40d8-bf9a-4d38db2f5569
FRA,250+,ICT,0811fd87-628f-4a98-bfe3-78f78c87df37
FRA,250+,Manufacturing,c104c21e-1b8f-42ef-861b-70c431dc12a1
GBR,50-249,ICT,31ed5d6e-871c-491a-9b97-b6ab0e30f047
GBR,50-249,Manufacturing,ed4b1f4d-8930-4532-bc02-dfbb31aacfa0
GBR,250+,ICT,e83df92c-4957-4391-98fc-97454b8161ad
GBR,250+,Manufacturing,2d841e21-1134-4b8c-b699-9ed08cf00e9d
ITA,50-249,ICT,3260cd43-9052-4b5f-814a-31bd4882fcbb
ITA,50-249,Manufacturing,9a87ee4d-6f1a-45db-9782-0ce627cefc25
ITA,250+,ICT,789a98dc-eac1-4438-8219-a485e03f9e3a
ITA,250+,Manufacturing,33b98457-7278-4caf-ae9d-501d72cf60b5
JPN,50-249,ICT,f49a0793-b1da-467f-b28f-5c6895523c13
JPN,50-249,Manufacturing,318d5beb-bff1-49e1-8e9b-7b73d0ced068
JPN,250+,ICT,0980ea00-9678-41a3-806a-d24b481dea6d
JPN,250+,Manufacturing,2e2b7028-8136-486c-9499-40cd60565ebb
USA,50-249,ICT,0cb8ef70-bf21-4255-a703-4f1788a83af2
USA,50-249,Manufacturing,d0675186-914e-4960-b1f6-92b4b959013d
USA,250+,ICT,0807daf2-52cf-49e9-8cda-2cbf0ac92ca8
USA,250+,Manufacturing,91ac0a9f-f3ac-45f2-9992-59bf24f383bf
