dimension_id,indicator,value,table_id
415f47f3-9595-4517-94eb-643157558605,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
39673aa7-502f-4e81-b1c1-5ce7b4deece0,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
4805bd66-f273-45de-8370-bf0c96197719,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
9b1105cd-6ef3-4d9d-ac8c-6338a4119b15,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
73c81162-731d-4d10-90d2-39342aeed3c9,Info on business use cases – Not helpful at all,2 (6.7%),5f221190-edb4-42a8-9f7b-836b729bfb80
14bbc5bc-af15-4672-ab75-40f8159bc9ee,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
7d2fb592-9eb8-4025-8800-71bc18c8708f,Info on business use cases – Not helpful at all,2 (6.7%),5f221190-edb4-42a8-9f7b-836b729bfb80
7b9a0078-0675-4460-ae4d-9fda8f3e1cf6,Info on business use cases – Not helpful at all,1 (3.3%),5f221190-edb4-42a8-9f7b-836b729bfb80
1e2afe4d-1f6a-4a45-8915-afd077deca04,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
ff61636f-fd3d-40d8-bf9a-4d38db2f5569,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
0811fd87-628f-4a98-bfe3-78f78c87df37,Info on business use cases – Not helpful at all,1 (3.3%),5f221190-edb4-42a8-9f7b-836b729bfb80
c104c21e-1b8f-42ef-861b-70c431dc12a1,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
31ed5d6e-871c-491a-9b97-b6ab0e30f047,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
ed4b1f4d-8930-4532-bc02-dfbb31aacfa0,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
e83df92c-4957-4391-98fc-97454b8161ad,Info on business use cases – Not helpful at all,3 (10.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
2d841e21-1134-4b8c-b699-9ed08cf00e9d,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
3260cd43-9052-4b5f-814a-31bd4882fcbb,Info on business use cases – Not helpful at all,1 (3.3%),5f221190-edb4-42a8-9f7b-836b729bfb80
9a87ee4d-6f1a-45db-9782-0ce627cefc25,Info on business use cases – Not helpful at all,0 (0.0%),5f221190-edb4-42a8-9f7b-836b729bfb80
