Country,Enterprise size,Sector,Info on private-sector advice – Not helpful at all,Info on private-sector advice – A little helpful,Info on private-sector advice – Helpful,Info on private-sector advice – Very helpful,dimension_id
CAN,50-249,ICT,0 (0.0%),2 (6.7%),14 (46.7%),14 (46.7%),13ac4bea-e137-4467-9810-0808238a196c
CAN,50-249,Manufacturing,0 (0.0%),3 (10.0%),13 (43.3%),14 (46.7%),ec4d901f-f465-48ed-a621-5c25ea87d80a
CAN,250+,ICT,1 (3.3%),7 (23.3%),12 (40.0%),10 (33.3%),c8a9c1f0-38f0-4aaf-aaa6-74d9a99d316e
CAN,250+,Manufacturing,1 (3.3%),4 (13.3%),11 (36.7%),14 (46.7%),c2571ced-e511-4752-88c2-8f41150dc1ca
DEU,50-249,ICT,1 (3.3%),5 (16.7%),13 (43.3%),11 (36.7%),e1fd9b53-9ee7-4292-ad1c-6270a9b9c22e
DEU,50-249,Manufacturing,0 (0.0%),7 (23.3%),10 (33.3%),13 (43.3%),0caf785d-b2b2-4a6d-8b4f-f88d137bc0b6
DEU,250+,ICT,1 (3.3%),5 (16.7%),15 (50.0%),9 (30.0%),f83a7cf5-bb04-407e-b3ca-6bf7e1f1f5ba
DEU,250+,Manufacturing,1 (3.3%),8 (26.7%),13 (43.3%),8 (26.7%),9e4f0808-9a4f-41dd-adbb-1dd0fad3ba5f
FRA,50-249,ICT,0 (0.0%),10 (33.3%),13 (43.3%),7 (23.3%),ff8d87e4-d214-4c4c-9b90-286fb5a150f3
FRA,50-249,Manufacturing,0 (0.0%),1 (3.3%),8 (26.7%),21 (70.0%),11b2a99b-e846-4596-9d10-81b966219fc3
FRA,250+,ICT,1 (3.3%),8 (26.7%),15 (50.0%),6 (20.0%),fc4d96a6-8aaf-47fa-9703-87b8a1a15dac
FRA,250+,Manufacturing,0 (0.0%),3 (10.0%),13 (43.3%),14 (46.7%),ab86b96c-7677-4254-a436-1127d04141c0
GBR,50-249,ICT,1 (3.3%),7 (23.3%),15 (50.0%),7 (23.3%),c823370b-0454-425d-9920-40bda285f813
GBR,50-249,Manufacturing,0 (0.0%),6 (20.0%),11 (36.7%),13 (43.3%),23719c5c-44d6-4090-9040-4a4d41488fb0
GBR,250+,ICT,2 (6.7%),4 (13.3%),13 (43.3%),11 (36.7%),a8844ec7-eb4b-49f7-96ed-bae732518d90
GBR,250+,Manufacturing,0 (0.0%),10 (33.3%),13 (43.3%),7 (23.3%),1f1350d1-d6fb-4552-96f9-fc11ee0b194b
ITA,50-249,ICT,1 (3.3%),5 (16.7%),16 (53.3%),8 (26.7%),c1546055-8530-4976-ae66-5c6521c943e7
ITA,50-249,Manufacturing,0 (0.0%),5 (16.7%),13 (43.3%),12 (40.0%),d461598a-4320-45d6-b1ec-4f826ef08b53
ITA,250+,ICT,1 (3.3%),5 (16.7%),14 (46.7%),10 (33.3%),8b7d5656-4df7-4218-a8a8-a312bff25da4
ITA,250+,Manufacturing,0 (0.0%),7 (23.3%),18 (60.0%),5 (16.7%),000e44ff-fb5f-4aed-9e1c-8383ceb7a07c
JPN,50-249,ICT,0 (0.0%),5 (16.7%),10 (33.3%),15 (50.0%),a120852b-3331-419a-b448-435a828c0a5e
JPN,50-249,Manufacturing,0 (0.0%),3 (10.0%),12 (40.0%),15 (50.0%),2a90f5b5-f425-474f-9a73-7dd919f428a8
JPN,250+,ICT,0 (0.0%),6 (20.0%),14 (46.7%),10 (33.3%),7f46235f-c06c-4ae4-af2b-be0caa43b309
JPN,250+,Manufacturing,3 (10.0%),2 (6.7%),15 (50.0%),10 (33.3%),6f7adaf0-8d95-4da5-80ee-6d10768fd77b
USA,50-249,ICT,3 (10.0%),8 (26.7%),12 (40.0%),7 (23.3%),f2d48f01-8fa6-4a11-9f36-9c51fe7eec25
USA,50-249,Manufacturing,1 (3.3%),6 (20.0%),15 (50.0%),8 (26.7%),4185dc3d-8154-42f4-ba30-b525b1257500
USA,250+,ICT,0 (0.0%),8 (26.7%),17 (56.7%),5 (16.7%),c78cd2c7-ff0a-4ec0-80e8-b9c7cf38923a
USA,250+,Manufacturing,2 (6.7%),5 (16.7%),16 (53.3%),7 (23.3%),127cbde5-9675-43ab-852d-6cadae2ce26d
