dimension_id,indicator,value,table_id
4175ee7c-a4e6-4b99-9d62-b5a610cd25cc,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
21a54520-fc59-4d50-a662-321b8c38eae1,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
5c6a09bf-1cad-4415-9c11-a181add11e3a,Investing in AI-related education – Not helpful at all,1 (3.3%),0838dbac-95c6-4471-b796-42f22c7ab8fc
34ca79da-3df0-4dbb-8594-c83611fe4cf9,Investing in AI-related education – Not helpful at all,1 (3.3%),0838dbac-95c6-4471-b796-42f22c7ab8fc
0e7ea953-c4d9-49ea-8ec5-0decdf0ca0a8,Investing in AI-related education – Not helpful at all,2 (6.7%),0838dbac-95c6-4471-b796-42f22c7ab8fc
3433d97e-cb3e-4cf9-963b-a4978960d4f5,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
dfc78d4b-33c8-44a9-bbca-7137d13d1eee,Investing in AI-related education – Not helpful at all,1 (3.3%),0838dbac-95c6-4471-b796-42f22c7ab8fc
c77c5163-17cf-4c9e-8daf-76b52c79e7a8,Investing in AI-related education – Not helpful at all,1 (3.3%),0838dbac-95c6-4471-b796-42f22c7ab8fc
12e45b64-1524-40ee-a814-62cbbc649f4b,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
bb287599-c225-4105-9465-afcdf6fbd74d,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
bc336d1d-9896-46fd-ba3a-9d0eda55b3a4,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
c096e074-3446-4463-be67-4e0d5ba481d8,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
2105beeb-7266-47ac-9869-8cb3adb64ee9,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
7345572c-f4f0-48f2-87b5-1fe5bbd46ef7,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
5ea968de-5cc6-41da-9453-4da8d367a1dd,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
eb7047b8-b3ba-441a-a70f-62faa1d9b74b,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
f8b46e52-4285-42ad-827d-a76c1ac7ccf8,Investing in AI-related education – Not helpful at all,2 (6.7%),0838dbac-95c6-4471-b796-42f22c7ab8fc
1be084d7-5ebc-473f-851a-c958b011ee18,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
3bb388ce-4498-4a70-baa1-02f1dafff8be,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
61aa04b0-c1aa-432a-8df7-6050942bd970,Investing in AI-related education – Not helpful at all,1 (3.3%),0838dbac-95c6-4471-b796-42f22c7ab8fc
5e1518df-682f-42e4-9389-39c0ce2a7598,Investing in AI-related education – Not helpful at all,1 (3.3%),0838dbac-95c6-4471-b796-42f22c7ab8fc
b6a5c52c-c4f6-4ffb-bfc7-85f0593220e1,Investing in AI-related education – Not helpful at all,1 (3.3%),0838dbac-95c6-4471-b796-42f22c7ab8fc
f6953803-3633-4dfa-9ba7-2f0b2a141b8e,Investing in AI-related education – Not helpful at all,0 (0.0%),0838dbac-95c6-4471-b796-42f22c7ab8fc
