Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,879fa251-5f0a-40d7-bb54-c8922388c40b
CAN,50-249,Manufacturing,adadcafd-8deb-4269-9e54-e059c4d3d902
CAN,250+,ICT,1735acfb-a8ae-43cc-a322-91fe3675ebf7
CAN,250+,Manufacturing,49f42667-3baf-499b-848c-7ecfb9b1d712
DEU,50-249,ICT,492ce560-c0b2-4d85-99aa-dae7a057de88
DEU,50-249,Manufacturing,97c2ec21-09fc-432b-b274-08468fbacfa8
DEU,250+,ICT,9753f328-ffda-4479-a879-5417bcffff77
DEU,250+,Manufacturing,dead11eb-72e4-4db6-9af6-dba236918a95
FRA,50-249,ICT,dc481f8b-7900-4574-a3d3-92555439c672
FRA,50-249,Manufacturing,65ec4387-75e6-43b6-812a-ea2a6905e728
FRA,250+,ICT,66c8f665-b395-4950-9230-eafc798372d8
FRA,250+,Manufacturing,5dc78dd2-11c2-43ad-9c12-3e5eac7abfde
GBR,50-249,ICT,0606523d-5ddc-4c5c-9726-f5cbf1ecd8c4
GBR,50-249,Manufacturing,0eef31a1-3e56-4661-88bd-5090f5105760
GBR,250+,ICT,31a64f1d-c395-4525-86e7-c6bcc19b15b3
GBR,250+,Manufacturing,85bae2d2-5a93-404f-b19f-db987c9da6da
ITA,50-249,ICT,1168dfe4-a0c6-4175-be67-f35c7ca8ad3e
ITA,50-249,Manufacturing,b3546f79-40b4-49b4-a0e2-bd981df75e2d
ITA,250+,ICT,782d402d-cdaf-4146-83b1-23cc2bc0ab20
ITA,250+,Manufacturing,53970012-16fd-4276-bb7c-db0d88e2e162
JPN,50-249,ICT,96019e9c-c139-4812-a89d-4bcd5d315851
JPN,50-249,Manufacturing,e8f3b5e0-3bb1-4cfb-b5d3-77caa9c4c22d
JPN,250+,ICT,e6e90bea-93bd-4e27-b8b3-ccb24f8ef886
JPN,250+,Manufacturing,482b50ca-aa55-4906-94ad-66561e817fab
USA,50-249,ICT,c66f951d-43d4-4737-bc51-250f69daafd0
USA,50-249,Manufacturing,043aa481-aa16-43b9-9f82-d51a860a0868
USA,250+,ICT,39b99df3-42f6-4ebc-8cc1-8a715f516989
USA,250+,Manufacturing,aec4696e-1d28-4e9b-88ec-5fe7da00c31f
