Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,6d265708-a98b-4a1f-9282-32ce4b242c47
CAN,50-249,Manufacturing,7342ff87-a79e-41d9-ab1e-26d0131ef80f
CAN,250+,ICT,7fc43b45-1eee-400b-abaf-8bf72ed76a8e
CAN,250+,Manufacturing,eef8b419-3981-4c06-9770-19330222b38a
DEU,50-249,ICT,94bf2f2a-13e1-466c-9d17-58e551699563
DEU,50-249,Manufacturing,f1d08e37-f660-4380-a4c0-1920fd20a16d
DEU,250+,ICT,bfa6fef3-ce85-4476-88c5-4a74e7c5ec32
DEU,250+,Manufacturing,59cdc0fe-bcb8-4ff0-b295-5a97e7cfdb70
FRA,50-249,ICT,4dcec17d-c3a9-4568-8db6-b3a8480e1816
FRA,50-249,Manufacturing,ac7f0d8c-de0b-4b2b-ab05-dfbf1211c0ff
FRA,250+,ICT,79ea9162-f1fa-4abb-b1ec-c8bd4bd69ac3
FRA,250+,Manufacturing,7cb090c8-bc1a-463d-9c80-d53cfa49330f
GBR,50-249,ICT,afd9785e-c836-4ea6-82ee-9758627c3a33
GBR,50-249,Manufacturing,0045311a-5b8c-4e8c-9e72-bb07193de413
GBR,250+,ICT,6a67758e-1fcd-4d85-9d14-1fbe87fe350a
GBR,250+,Manufacturing,b89016a1-0415-467c-8f63-61432186b964
ITA,50-249,ICT,aba5c69d-f324-4bab-a5fc-d4650709de6d
ITA,50-249,Manufacturing,9fe509e6-02a6-4c1d-8e8c-ac315c2d7b75
ITA,250+,ICT,33882334-407b-4423-a7f9-49b7869a5aa0
ITA,250+,Manufacturing,9bdfc753-405a-4ee3-8873-9e49e8724208
JPN,50-249,ICT,0aff57cd-0fc6-4781-86a5-b3fc27ba0a88
JPN,50-249,Manufacturing,ee9896d9-d88b-4c06-b495-161a046d857b
JPN,250+,ICT,d1efab7a-4bc4-4994-8311-fc33226b3b18
JPN,250+,Manufacturing,3674612a-9bbb-4b20-8531-2221a4184988
USA,50-249,ICT,0ba64b13-260b-488a-8366-1b9e30c0cd37
USA,50-249,Manufacturing,0a1bb482-1305-4d1a-8e03-b663162c3b5d
USA,250+,ICT,4538afc8-0557-484e-b491-dbe8477ea12c
USA,250+,Manufacturing,c35b08a2-aac0-4f11-8b2e-8be28fbef55c
