Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,39cb9053-5581-498e-ba73-85a0188c82ff
CAN,50-249,Manufacturing,9f48cdfd-c15a-4fa2-966b-b528761905ee
CAN,250+,ICT,23deb658-f57a-45b4-8608-ff4c21dc1cba
CAN,250+,Manufacturing,22597f13-a4d2-4fb3-889c-28a42e983c6d
DEU,50-249,ICT,3d2b97e4-7bc9-46bd-ba81-83e2f65aa52a
DEU,50-249,Manufacturing,9fb34b1a-8795-4dee-9cbc-258d13c15985
DEU,250+,ICT,65c36de2-4bde-453b-8d2e-f88f1c823810
DEU,250+,Manufacturing,9953abe5-2e75-452f-bb23-ceb25d8f7a41
FRA,50-249,ICT,1ecc64e0-1839-4ac6-8258-d761e5024a1f
FRA,50-249,Manufacturing,a86fc9e8-89c3-488d-a522-61d45ef0f833
FRA,250+,ICT,63de9d76-aac6-4f53-917d-e8799d4dfd3d
FRA,250+,Manufacturing,fcb17d4a-9fb4-4f16-9045-ecc1f2a3780d
GBR,50-249,ICT,7dda57c4-ea4d-419a-b2fe-d7cd61832b37
GBR,50-249,Manufacturing,50852b8b-9097-49c1-bfbc-527815452ca6
GBR,250+,ICT,2997f730-da26-4270-82f8-dbf06e497e68
GBR,250+,Manufacturing,f26b0754-9751-4be6-b319-af5c4bb4c32d
ITA,50-249,ICT,69ef8e05-9ac4-43aa-8791-09fdc090584d
ITA,50-249,Manufacturing,b53bedd0-3332-4e33-916c-33a666a62836
ITA,250+,ICT,fd77ef49-9104-47ac-a776-04913dce8afc
ITA,250+,Manufacturing,c8a75ede-20ac-491e-8da2-207337028424
JPN,50-249,ICT,348421a7-bc95-4f15-ba23-9cebe8e34ad8
JPN,50-249,Manufacturing,e570dfa4-0e6f-4bfd-898f-a6cf49eb5732
JPN,250+,ICT,36f3288c-11de-447e-96ef-e0f51fbb4181
JPN,250+,Manufacturing,eddcd718-1934-4c7b-b9e5-d7ef95e3a744
USA,50-249,ICT,c9df32eb-0ccd-4620-b91e-358de8fd276e
USA,50-249,Manufacturing,7f06625d-5c48-4eb7-950a-fa903edd1fcd
USA,250+,ICT,54f9385e-4e74-4376-9778-e0d90b590741
USA,250+,Manufacturing,4e0c1e4e-1ca9-4563-ba5c-e6902e273eea
