dimension_id,indicator,value,table_id
39cb9053-5581-498e-ba73-85a0188c82ff,No,4 (13.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
9f48cdfd-c15a-4fa2-966b-b528761905ee,No,1 (3.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
23deb658-f57a-45b4-8608-ff4c21dc1cba,No,1 (3.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
22597f13-a4d2-4fb3-889c-28a42e983c6d,No,5 (16.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
3d2b97e4-7bc9-46bd-ba81-83e2f65aa52a,No,6 (20.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
9fb34b1a-8795-4dee-9cbc-258d13c15985,No,4 (13.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
65c36de2-4bde-453b-8d2e-f88f1c823810,No,4 (13.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
9953abe5-2e75-452f-bb23-ceb25d8f7a41,No,10 (33.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
1ecc64e0-1839-4ac6-8258-d761e5024a1f,No,2 (6.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
a86fc9e8-89c3-488d-a522-61d45ef0f833,No,0 (0.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
63de9d76-aac6-4f53-917d-e8799d4dfd3d,No,0 (0.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
fcb17d4a-9fb4-4f16-9045-ecc1f2a3780d,No,7 (23.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
7dda57c4-ea4d-419a-b2fe-d7cd61832b37,No,1 (3.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
50852b8b-9097-49c1-bfbc-527815452ca6,No,3 (10.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
2997f730-da26-4270-82f8-dbf06e497e68,No,3 (10.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
f26b0754-9751-4be6-b319-af5c4bb4c32d,No,4 (13.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
69ef8e05-9ac4-43aa-8791-09fdc090584d,No,4 (13.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
b53bedd0-3332-4e33-916c-33a666a62836,No,3 (10.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
fd77ef49-9104-47ac-a776-04913dce8afc,No,3 (10.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
c8a75ede-20ac-491e-8da2-207337028424,No,2 (6.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
348421a7-bc95-4f15-ba23-9cebe8e34ad8,No,2 (6.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
e570dfa4-0e6f-4bfd-898f-a6cf49eb5732,No,1 (3.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
36f3288c-11de-447e-96ef-e0f51fbb4181,No,4 (13.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
eddcd718-1934-4c7b-b9e5-d7ef95e3a744,No,2 (6.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
c9df32eb-0ccd-4620-b91e-358de8fd276e,No,4 (13.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
7f06625d-5c48-4eb7-950a-fa903edd1fcd,No,12 (40.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
54f9385e-4e74-4376-9778-e0d90b590741,No,3 (10.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
4e0c1e4e-1ca9-4563-ba5c-e6902e273eea,No,9 (30.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
39cb9053-5581-498e-ba73-85a0188c82ff,Yes,26 (86.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
9f48cdfd-c15a-4fa2-966b-b528761905ee,Yes,29 (96.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
23deb658-f57a-45b4-8608-ff4c21dc1cba,Yes,29 (96.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
22597f13-a4d2-4fb3-889c-28a42e983c6d,Yes,25 (83.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
3d2b97e4-7bc9-46bd-ba81-83e2f65aa52a,Yes,24 (80.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
9fb34b1a-8795-4dee-9cbc-258d13c15985,Yes,26 (86.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
65c36de2-4bde-453b-8d2e-f88f1c823810,Yes,26 (86.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
9953abe5-2e75-452f-bb23-ceb25d8f7a41,Yes,20 (66.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
1ecc64e0-1839-4ac6-8258-d761e5024a1f,Yes,28 (93.3%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
a86fc9e8-89c3-488d-a522-61d45ef0f833,Yes,30 (100.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
63de9d76-aac6-4f53-917d-e8799d4dfd3d,Yes,30 (100.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
fcb17d4a-9fb4-4f16-9045-ecc1f2a3780d,Yes,23 (76.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
7dda57c4-ea4d-419a-b2fe-d7cd61832b37,Yes,29 (96.7%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
50852b8b-9097-49c1-bfbc-527815452ca6,Yes,27 (90.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
2997f730-da26-4270-82f8-dbf06e497e68,Yes,27 (90.0%),f8f20ada-ff0f-4c94-b797-ebec7c1fb9ff
