Country,Enterprise size,Country.1,Enterprise size.1,Sector,dimension_id
CAN,50-249,CAN,50-249,ICT,6487a264-12de-4e1a-a99e-2476465ff45b
CAN,50-249,CAN,50-249,Manufacturing,c9d9e72d-2b78-47fe-89bf-89a5dc4fd938
CAN,250+,CAN,250+,ICT,b9ff0ea2-e8f9-4fc2-98cb-b2e99c8eb86d
CAN,250+,CAN,250+,Manufacturing,d2190e3f-05ff-4e7c-96a6-ebb8ab4df8a6
DEU,50-249,DEU,50-249,ICT,32b3aa10-97ad-4d78-b43a-f318c3c74b42
DEU,50-249,DEU,50-249,Manufacturing,60771beb-dfe3-4193-b0bb-3ca6dccdcf0a
DEU,250+,DEU,250+,ICT,39a023f5-4114-4a33-b913-f266c60687e5
DEU,250+,DEU,250+,Manufacturing,44ded9c7-3abe-4a14-a4ad-aeb18e90931c
FRA,50-249,FRA,50-249,ICT,7a7e3ee6-1510-4cec-8a17-36594b567b00
FRA,50-249,FRA,50-249,Manufacturing,062c1a33-4e99-4e3b-8f7b-ef2a8c9565fb
FRA,250+,FRA,250+,ICT,e0bd4562-02f1-4701-98af-16a2a7cf3896
FRA,250+,FRA,250+,Manufacturing,481e417f-b133-43b6-9b37-e177d574f729
GBR,50-249,GBR,50-249,ICT,7f297ba1-c98b-45c4-a15f-658dd4eeb9e0
GBR,50-249,GBR,50-249,Manufacturing,3fa546d0-95cb-481f-a066-228e0aba5eed
GBR,250+,GBR,250+,ICT,367a211d-2d98-4f00-b5ab-a180e540008b
GBR,250+,GBR,250+,Manufacturing,9be33fe8-9757-429f-80b3-99e624bbec36
ITA,50-249,ITA,50-249,ICT,3a8a64f9-6ebd-4105-a785-020a563e1b8a
ITA,50-249,ITA,50-249,Manufacturing,184f7540-eda4-4d82-876d-a3a9df271bf3
ITA,250+,ITA,250+,ICT,883c1fd6-4c03-48cb-99b7-889beb80da52
ITA,250+,ITA,250+,Manufacturing,98e17fb5-8714-4481-9232-24600d9c43dc
JPN,50-249,JPN,50-249,ICT,66ab2baa-2890-45f2-99e5-49a4e99b05ae
JPN,50-249,JPN,50-249,Manufacturing,af2a922d-897d-4fb6-b0fc-4b24502e2d38
JPN,250+,JPN,250+,ICT,064faa9c-0a5f-405c-bd0d-117d444cd164
JPN,250+,JPN,250+,Manufacturing,03de2773-c1aa-4b3a-8035-6578fa23e735
USA,50-249,USA,50-249,ICT,44e0c55f-9b6f-4829-8afc-e371427c047d
USA,50-249,USA,50-249,Manufacturing,d98f42b2-fa76-434c-80e9-c78218329748
USA,250+,USA,250+,ICT,91f7d966-6859-4dc7-ad55-71c5fb07ae17
USA,250+,USA,250+,Manufacturing,5508557c-93ec-4c26-aa74-d9d49096d197
