dimension_id,indicator,value,table_id
6487a264-12de-4e1a-a99e-2476465ff45b,Protection of customer data – Agree,10 (33.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
c9d9e72d-2b78-47fe-89bf-89a5dc4fd938,Protection of customer data – Agree,15 (50.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
b9ff0ea2-e8f9-4fc2-98cb-b2e99c8eb86d,Protection of customer data – Agree,8 (26.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
d2190e3f-05ff-4e7c-96a6-ebb8ab4df8a6,Protection of customer data – Agree,9 (30.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
32b3aa10-97ad-4d78-b43a-f318c3c74b42,Protection of customer data – Agree,15 (50.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
60771beb-dfe3-4193-b0bb-3ca6dccdcf0a,Protection of customer data – Agree,9 (30.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
39a023f5-4114-4a33-b913-f266c60687e5,Protection of customer data – Agree,11 (36.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
44ded9c7-3abe-4a14-a4ad-aeb18e90931c,Protection of customer data – Agree,14 (46.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
7a7e3ee6-1510-4cec-8a17-36594b567b00,Protection of customer data – Agree,7 (23.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
062c1a33-4e99-4e3b-8f7b-ef2a8c9565fb,Protection of customer data – Agree,8 (26.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
e0bd4562-02f1-4701-98af-16a2a7cf3896,Protection of customer data – Agree,5 (16.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
481e417f-b133-43b6-9b37-e177d574f729,Protection of customer data – Agree,10 (33.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
7f297ba1-c98b-45c4-a15f-658dd4eeb9e0,Protection of customer data – Agree,13 (43.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
3fa546d0-95cb-481f-a066-228e0aba5eed,Protection of customer data – Agree,7 (23.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
367a211d-2d98-4f00-b5ab-a180e540008b,Protection of customer data – Agree,5 (16.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
9be33fe8-9757-429f-80b3-99e624bbec36,Protection of customer data – Agree,14 (46.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
3a8a64f9-6ebd-4105-a785-020a563e1b8a,Protection of customer data – Agree,18 (60.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
184f7540-eda4-4d82-876d-a3a9df271bf3,Protection of customer data – Agree,13 (43.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
883c1fd6-4c03-48cb-99b7-889beb80da52,Protection of customer data – Agree,7 (23.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
98e17fb5-8714-4481-9232-24600d9c43dc,Protection of customer data – Agree,11 (36.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
66ab2baa-2890-45f2-99e5-49a4e99b05ae,Protection of customer data – Agree,7 (23.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
af2a922d-897d-4fb6-b0fc-4b24502e2d38,Protection of customer data – Agree,5 (16.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
064faa9c-0a5f-405c-bd0d-117d444cd164,Protection of customer data – Agree,11 (36.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
03de2773-c1aa-4b3a-8035-6578fa23e735,Protection of customer data – Agree,12 (40.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
44e0c55f-9b6f-4829-8afc-e371427c047d,Protection of customer data – Agree,6 (20.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
d98f42b2-fa76-434c-80e9-c78218329748,Protection of customer data – Agree,12 (40.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
91f7d966-6859-4dc7-ad55-71c5fb07ae17,Protection of customer data – Agree,7 (23.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
5508557c-93ec-4c26-aa74-d9d49096d197,Protection of customer data – Agree,6 (20.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
6487a264-12de-4e1a-a99e-2476465ff45b,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
c9d9e72d-2b78-47fe-89bf-89a5dc4fd938,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
b9ff0ea2-e8f9-4fc2-98cb-b2e99c8eb86d,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
d2190e3f-05ff-4e7c-96a6-ebb8ab4df8a6,Protection of customer data – Disagree,2 (6.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
32b3aa10-97ad-4d78-b43a-f318c3c74b42,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
60771beb-dfe3-4193-b0bb-3ca6dccdcf0a,Protection of customer data – Disagree,2 (6.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
39a023f5-4114-4a33-b913-f266c60687e5,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
44ded9c7-3abe-4a14-a4ad-aeb18e90931c,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
7a7e3ee6-1510-4cec-8a17-36594b567b00,Protection of customer data – Disagree,3 (10.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
062c1a33-4e99-4e3b-8f7b-ef2a8c9565fb,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
e0bd4562-02f1-4701-98af-16a2a7cf3896,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
481e417f-b133-43b6-9b37-e177d574f729,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
7f297ba1-c98b-45c4-a15f-658dd4eeb9e0,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
3fa546d0-95cb-481f-a066-228e0aba5eed,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
367a211d-2d98-4f00-b5ab-a180e540008b,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
9be33fe8-9757-429f-80b3-99e624bbec36,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
3a8a64f9-6ebd-4105-a785-020a563e1b8a,Protection of customer data – Disagree,2 (6.7%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
184f7540-eda4-4d82-876d-a3a9df271bf3,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
883c1fd6-4c03-48cb-99b7-889beb80da52,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
98e17fb5-8714-4481-9232-24600d9c43dc,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
66ab2baa-2890-45f2-99e5-49a4e99b05ae,Protection of customer data – Disagree,3 (10.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
af2a922d-897d-4fb6-b0fc-4b24502e2d38,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
064faa9c-0a5f-405c-bd0d-117d444cd164,Protection of customer data – Disagree,1 (3.3%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
03de2773-c1aa-4b3a-8035-6578fa23e735,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
44e0c55f-9b6f-4829-8afc-e371427c047d,Protection of customer data – Disagree,0 (0.0%),8b3edee3-f8f0-4953-a95a-9bc7d891b9b1
