Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,43a1965b-dc15-4896-85db-ee6ed74dcba0
CAN,50-249,Manufacturing,8a568045-a504-486e-99d9-e9be76c8be93
CAN,250+,ICT,ce845fea-8d50-491e-8ecd-e7c3d8d355a6
CAN,250+,Manufacturing,8e6c3af0-7cbf-4563-82cf-4e7dd44ccc6c
DEU,50-249,ICT,4c60c47f-db02-4212-b6a3-800326954fb9
DEU,50-249,Manufacturing,ca3aced3-5a4d-451f-b7b2-ccfb29cd9d5e
DEU,250+,ICT,59cff178-5b68-47f3-977a-fbe07b698bfd
DEU,250+,Manufacturing,4a143d98-a688-4ce0-b896-20d68de1094b
FRA,50-249,ICT,80f37855-218b-4eaa-90da-9adb137b679d
FRA,50-249,Manufacturing,35d233ea-113a-47e7-8b58-68b43910581e
FRA,250+,ICT,39cb1e88-e728-43ad-a8dc-7d81bd692410
FRA,250+,Manufacturing,5e5ebd16-9810-4a5b-8656-60f8480a5009
GBR,50-249,ICT,757590eb-5dd7-41d0-8c6f-1648db374677
GBR,50-249,Manufacturing,9d9f9d46-9b3a-4b48-a1e0-0e15a78b2337
GBR,250+,ICT,59bc4229-32e2-41f8-9df3-8123e68ad78d
GBR,250+,Manufacturing,c2b5aae6-68ed-439e-a833-2636ac76d405
ITA,50-249,ICT,cbcb94b9-381d-4e18-a0da-a2d097a3c595
ITA,50-249,Manufacturing,3eb92e96-41bb-4752-8502-41fea8cd0520
ITA,250+,ICT,71a928ef-af16-4e85-9344-7a87dd465360
ITA,250+,Manufacturing,89936118-8e2c-44e4-bb35-7a8a91e20b21
JPN,50-249,ICT,fd689b3e-c07f-417d-a131-f7843b7e90cc
JPN,50-249,Manufacturing,d4b538b3-9031-4f49-991d-6d8283f4d8fb
JPN,250+,ICT,041f8012-11b1-4001-9ba5-7c65e25e880f
JPN,250+,Manufacturing,2ecbe696-bf9a-4b00-a5f6-7a62da9d8996
USA,50-249,ICT,b5543c29-da3a-4dec-9849-67c97df2cd61
USA,50-249,Manufacturing,64058024-cef1-4ed2-8a71-ced079103cb1
USA,250+,ICT,2f41fb38-2195-4067-8632-25bcfb57eaf8
USA,250+,Manufacturing,7eaa9d35-f23d-48cd-b501-71b4892059ba
