dimension_id,indicator,value,table_id
43a1965b-dc15-4896-85db-ee6ed74dcba0,Certification of the safety of AI systems – No,5 (16.7%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
8a568045-a504-486e-99d9-e9be76c8be93,Certification of the safety of AI systems – No,3 (10.0%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
ce845fea-8d50-491e-8ecd-e7c3d8d355a6,Certification of the safety of AI systems – No,8 (26.7%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
8e6c3af0-7cbf-4563-82cf-4e7dd44ccc6c,Certification of the safety of AI systems – No,8 (26.7%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
4c60c47f-db02-4212-b6a3-800326954fb9,Certification of the safety of AI systems – No,5 (16.7%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
ca3aced3-5a4d-451f-b7b2-ccfb29cd9d5e,Certification of the safety of AI systems – No,5 (16.7%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
59cff178-5b68-47f3-977a-fbe07b698bfd,Certification of the safety of AI systems – No,6 (20.0%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
4a143d98-a688-4ce0-b896-20d68de1094b,Certification of the safety of AI systems – No,8 (26.7%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
80f37855-218b-4eaa-90da-9adb137b679d,Certification of the safety of AI systems – No,1 (3.3%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
35d233ea-113a-47e7-8b58-68b43910581e,Certification of the safety of AI systems – No,1 (3.3%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
39cb1e88-e728-43ad-a8dc-7d81bd692410,Certification of the safety of AI systems – No,4 (13.3%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
5e5ebd16-9810-4a5b-8656-60f8480a5009,Certification of the safety of AI systems – No,8 (26.7%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
757590eb-5dd7-41d0-8c6f-1648db374677,Certification of the safety of AI systems – No,6 (20.0%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
9d9f9d46-9b3a-4b48-a1e0-0e15a78b2337,Certification of the safety of AI systems – No,4 (13.3%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
59bc4229-32e2-41f8-9df3-8123e68ad78d,Certification of the safety of AI systems – No,10 (33.3%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
c2b5aae6-68ed-439e-a833-2636ac76d405,Certification of the safety of AI systems – No,9 (30.0%),559f7186-c1f9-4d6e-a378-bbe4eaf17a6b
