dimension_id,indicator,value,table_id
6d1ea6a2-a3bf-4459-9aa9-870216a8874f,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
43bb48d2-131f-442b-98a8-7e75ed1c574b,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
34731381-a5b7-4ce8-abe1-91c4f1c644aa,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
33de5510-cd8d-4d2a-9d27-b17f3f3f1038,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
7f59e878-41ac-4a5c-8a79-d074d83cf150,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
97a889f4-8335-41e4-aeb5-f1d224662b01,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
145e7aa5-e41f-48ee-8d49-ca62e0f7869e,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
2aec7390-63b5-410f-aa29-1e608d51c11c,0%,2 (6.7%),48208632-4c88-49aa-9e73-49dcf886032a
86419be7-6ae2-435b-a7e9-770e483901a2,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
dd265a83-6f97-40df-8993-c84ac96651eb,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
4f1066b9-d714-44ac-bf11-15455ede412a,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
ba6a6901-334f-4333-8a44-2866eeb7e8f9,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
e32aedd5-feef-4270-84db-f4cd7fab0b97,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
37f875e5-0937-430a-b0ad-8a07f210ff1d,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
34b56a51-7d0a-41e3-a605-6852f4a6414a,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
67b4a108-fdf3-4e20-b216-f77e0cba3362,0%,1 (3.3%),48208632-4c88-49aa-9e73-49dcf886032a
126ef7a5-e161-48d8-911a-212805250d69,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
e5c01382-71dd-4242-84c8-f61408564fcf,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
16c78835-1f71-48dc-b06f-276748da09a7,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
967ccc41-6aed-4ae9-9299-f6cb521678b6,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
0d37bc3f-3ca5-400e-b30a-f5243ad01161,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
5c20944b-e195-4025-8d36-9f711b8a2a47,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
a22d2b56-c856-41af-ae08-b634b6864468,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
0dc06918-9ebb-426d-b543-55dcee8397ed,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
0de2ce43-7fd0-42fe-806a-a822dcabc29f,0%,1 (3.3%),48208632-4c88-49aa-9e73-49dcf886032a
69cb42cf-5eb7-4ec4-bb07-0856ede3abcf,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
05e55748-bdd0-428a-b620-026a47afb2d7,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
79c79429-fc34-451d-8e56-41bfa0173ef4,0%,0 (0.0%),48208632-4c88-49aa-9e73-49dcf886032a
6d1ea6a2-a3bf-4459-9aa9-870216a8874f,Between 1% and 10%,14 (46.7%),48208632-4c88-49aa-9e73-49dcf886032a
43bb48d2-131f-442b-98a8-7e75ed1c574b,Between 1% and 10%,15 (50.0%),48208632-4c88-49aa-9e73-49dcf886032a
34731381-a5b7-4ce8-abe1-91c4f1c644aa,Between 1% and 10%,16 (53.3%),48208632-4c88-49aa-9e73-49dcf886032a
33de5510-cd8d-4d2a-9d27-b17f3f3f1038,Between 1% and 10%,21 (70.0%),48208632-4c88-49aa-9e73-49dcf886032a
7f59e878-41ac-4a5c-8a79-d074d83cf150,Between 1% and 10%,8 (26.7%),48208632-4c88-49aa-9e73-49dcf886032a
