Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,8b3d094a-3fce-4d4d-9015-25a8cc7d86d7
CAN,50-249,Manufacturing,10b6f615-4535-4ef9-afe6-437fe4421058
CAN,250+,ICT,255078de-af6a-40e9-9cb5-20360118727e
CAN,250+,Manufacturing,698486ff-f6ed-41b5-84db-4b3344f0effd
DEU,50-249,ICT,91fe29fc-333e-416a-a150-64d4f7c95801
DEU,50-249,Manufacturing,adc39079-b3c2-43b4-be31-dd26a4c74fe9
DEU,250+,ICT,f2505be2-1204-4e04-a43b-988cf146ec43
DEU,250+,Manufacturing,9f5349cf-3aea-430e-b8dc-dc5dc0e979b7
FRA,50-249,ICT,38398f64-d638-497a-ad15-2ae524d80391
FRA,50-249,Manufacturing,e80139a0-9a0a-4da9-9923-47abd885ba16
FRA,250+,ICT,1ba6d074-32bd-4e9b-8bbf-552df8884c86
FRA,250+,Manufacturing,3b4011f1-8598-4537-8378-eaacecc34e45
GBR,50-249,ICT,5e5a0f86-bd00-480d-9878-d1b334f6e813
GBR,50-249,Manufacturing,2902d393-486e-4ef8-8a71-e7a20f5c749e
GBR,250+,ICT,b5b52a68-727b-4e4c-ae9d-85a516f4ebe0
GBR,250+,Manufacturing,e01a79da-e454-4068-86e5-3716b63862b4
ITA,50-249,ICT,4b0162a3-974a-4713-a86e-75d0b4570776
ITA,50-249,Manufacturing,a8bdbbd1-3bb2-48b1-aa78-aa69988fca88
ITA,250+,ICT,cdd51a77-f5c4-4c71-9765-7bba9177f17a
ITA,250+,Manufacturing,a3888943-b87b-44c5-8b7a-362419175eb4
JPN,50-249,ICT,fb6b1679-98d3-4f92-bbbd-ddc5e928514a
JPN,50-249,Manufacturing,4b6b4104-9ea8-4f1d-83bc-142dcc2c8dbd
JPN,250+,ICT,cf145019-b2dd-428f-9d85-36af5941d916
JPN,250+,Manufacturing,7848402f-1ea7-4a3a-a80a-cbed65eb1340
USA,50-249,ICT,e25b4fa0-b089-40b0-bba4-b50702887fdb
USA,50-249,Manufacturing,934bdf4e-58d6-44a6-b394-697c12c35ebf
USA,250+,ICT,1aaec226-b734-4cc8-925d-dbec751c072d
USA,250+,Manufacturing,46c9c7c7-97de-4f1c-8d0e-8d5b29165bed
