Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,3f3114b6-3097-4de4-9aab-4849c841d95f
CAN,50-249,Manufacturing,ebddf9ed-1586-431a-b882-ef4ac81344df
CAN,250+,ICT,109ad2d3-4e2b-4cce-b1fc-84311d48ebe2
CAN,250+,Manufacturing,24d5104b-318d-4b58-a196-2b8158223776
DEU,50-249,ICT,19832455-21a8-4e49-8b2c-6295dcbd5c2f
DEU,50-249,Manufacturing,da0f8c3f-e664-4f6f-8017-f79dd1cb9cee
DEU,250+,ICT,6f7d9bec-9742-459b-bb4e-335100bedade
DEU,250+,Manufacturing,4ad47589-8e5a-4e56-95c7-0d298050b57a
FRA,50-249,ICT,33d1ac75-0a99-4492-9f01-479211f55b53
FRA,50-249,Manufacturing,f33b6b8b-5567-4f60-a596-837a8bde0d8e
FRA,250+,ICT,7b5919c3-0f9b-401b-ae91-8071e615ba2d
FRA,250+,Manufacturing,c3dc1231-0cc3-45ca-ac72-4c39861398c8
GBR,50-249,ICT,4413b3cb-63d6-4d37-8c9d-93d42aee3746
GBR,50-249,Manufacturing,15d3e7fc-eb97-437a-8331-158a3c1583c3
GBR,250+,ICT,f1b6ccc2-5333-459d-95da-1e6a97cfbd78
GBR,250+,Manufacturing,8a0e2640-123e-44f5-bdb1-1a94d75b2d2b
ITA,50-249,ICT,2d775eef-56b1-4ba3-a05a-a0f5952e20ef
ITA,50-249,Manufacturing,30a2fe4d-97f7-476d-814d-a713dccbdeb0
ITA,250+,ICT,a5a60055-3716-4eae-8657-d38280065517
ITA,250+,Manufacturing,c7c0d71f-6c97-42be-a704-b12dc5cc39ba
JPN,50-249,ICT,07232150-b381-49bc-8444-a11336c448ad
JPN,50-249,Manufacturing,165b1c4a-f55e-406a-ba0c-2846aa0c5536
JPN,250+,ICT,ef566573-2ce1-411a-9e4d-a6136a7b6afe
JPN,250+,Manufacturing,2e0852f4-0906-4166-b197-addd89d30420
USA,50-249,ICT,2cb20b0a-3f53-43e9-825a-5a4f8194dc84
USA,50-249,Manufacturing,670c5f50-1b20-40bc-a509-8b51c88dd8ff
USA,250+,ICT,4df1f887-082a-484f-becd-34d5c889630f
USA,250+,Manufacturing,5a425897-d401-4833-a7e0-43fd40a1eb72
