dimension_id,indicator,value,table_id
3f3114b6-3097-4de4-9aab-4849c841d95f,No,7 (23.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
ebddf9ed-1586-431a-b882-ef4ac81344df,No,5 (16.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
109ad2d3-4e2b-4cce-b1fc-84311d48ebe2,No,4 (13.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
24d5104b-318d-4b58-a196-2b8158223776,No,15 (50.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
19832455-21a8-4e49-8b2c-6295dcbd5c2f,No,2 (6.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
da0f8c3f-e664-4f6f-8017-f79dd1cb9cee,No,14 (46.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
6f7d9bec-9742-459b-bb4e-335100bedade,No,2 (6.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
4ad47589-8e5a-4e56-95c7-0d298050b57a,No,12 (40.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
33d1ac75-0a99-4492-9f01-479211f55b53,No,3 (10.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
f33b6b8b-5567-4f60-a596-837a8bde0d8e,No,2 (6.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
7b5919c3-0f9b-401b-ae91-8071e615ba2d,No,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
c3dc1231-0cc3-45ca-ac72-4c39861398c8,No,5 (16.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
4413b3cb-63d6-4d37-8c9d-93d42aee3746,No,5 (16.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
15d3e7fc-eb97-437a-8331-158a3c1583c3,No,11 (36.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
f1b6ccc2-5333-459d-95da-1e6a97cfbd78,No,3 (10.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
8a0e2640-123e-44f5-bdb1-1a94d75b2d2b,No,9 (30.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
2d775eef-56b1-4ba3-a05a-a0f5952e20ef,No,9 (30.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
30a2fe4d-97f7-476d-814d-a713dccbdeb0,No,13 (43.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
a5a60055-3716-4eae-8657-d38280065517,No,1 (3.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
c7c0d71f-6c97-42be-a704-b12dc5cc39ba,No,11 (36.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
07232150-b381-49bc-8444-a11336c448ad,No,6 (20.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
165b1c4a-f55e-406a-ba0c-2846aa0c5536,No,6 (20.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
ef566573-2ce1-411a-9e4d-a6136a7b6afe,No,3 (10.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
2e0852f4-0906-4166-b197-addd89d30420,No,7 (23.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
2cb20b0a-3f53-43e9-825a-5a4f8194dc84,No,5 (16.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
670c5f50-1b20-40bc-a509-8b51c88dd8ff,No,17 (56.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
4df1f887-082a-484f-becd-34d5c889630f,No,1 (3.3%),f0d436bd-cab5-4c8a-a077-e602d145befc
5a425897-d401-4833-a7e0-43fd40a1eb72,No,2 (6.7%),f0d436bd-cab5-4c8a-a077-e602d145befc
3f3114b6-3097-4de4-9aab-4849c841d95f,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
ebddf9ed-1586-431a-b882-ef4ac81344df,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
109ad2d3-4e2b-4cce-b1fc-84311d48ebe2,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
24d5104b-318d-4b58-a196-2b8158223776,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
19832455-21a8-4e49-8b2c-6295dcbd5c2f,We are unfamiliar with this concept,0 (0.0%),f0d436bd-cab5-4c8a-a077-e602d145befc
