dimension_id,indicator,value,table_id
1c9e253a-ea16-4adf-babe-2695ecd24433,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
aeff17ad-8771-4bef-a50c-69b3b025c6ce,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
d7701a64-88c1-4aab-a704-c8d5e1ab3a7a,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
b28c61ce-4d61-4abf-aebf-289cfc436b82,Statistician/Data engineer (Don't know),1 (3.3),d17693e6-8f3a-4c8c-9103-4befe21ee52a
f4e70e84-512c-41b3-b523-5b1f4b62c608,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
8b52e144-f8ff-4ef2-93bb-344e2d711700,Statistician/Data engineer (Don't know),1 (3.3),d17693e6-8f3a-4c8c-9103-4befe21ee52a
eb3d91da-7176-48bc-8d1d-83c79a22fe39,Statistician/Data engineer (Don't know),1 (3.3),d17693e6-8f3a-4c8c-9103-4befe21ee52a
99f3a0c2-8992-494e-8bf3-a7afa251de7b,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
699b8c94-7d65-497e-b8cd-59890e2c3c86,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
fc939e1d-e0ef-4f90-ba13-8fbf19e848f0,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
f3d7229a-0218-4805-aaf2-7a2142c70384,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
a9401428-0fc6-41e2-bf6f-a62b3d464959,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
e5a5a10e-20b2-4505-af2a-c3e3cfe8bc2b,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
b032ae04-5cb7-401d-ada0-3d6d5e46b40e,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
a68363a8-2b52-4ce8-af70-94366863c6b0,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
ae576a51-c5d3-4ac9-b601-a83188dd919c,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
0058abb6-db26-4c24-a17c-fec860826718,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
1a91f7ef-13a2-40bd-aae1-1634e346babc,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
eafc9af2-baa0-4f1d-ab6f-c7ad0be615c7,Statistician/Data engineer (Don't know),0 (0.0),d17693e6-8f3a-4c8c-9103-4befe21ee52a
