Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,32447814-5220-403b-b6ae-3cdc23794b6c
CAN,50-249,Manufacturing,831b28d8-cbf9-46e6-a71a-2bffc16a4a01
CAN,250+,ICT,c2e548b0-524e-4142-a930-5b2be6622b28
CAN,250+,Manufacturing,8b17baca-a733-4273-a5ae-2f58095dfb8f
DEU,50-249,ICT,21e202fd-d105-46c0-9dd9-ac9a6542f7b5
DEU,50-249,Manufacturing,28c9e351-4c8a-431e-8b7e-17c1cac13aa4
DEU,250+,ICT,c92d1885-ae60-4bc0-894d-ef763c2fbbbf
DEU,250+,Manufacturing,8dc5aac6-5edc-402d-be53-a10757b69505
FRA,50-249,ICT,d8eda0a5-6334-433f-88a8-cf90983167d9
FRA,50-249,Manufacturing,9c2acad9-bc41-4eec-b74b-63438b5ce5bd
FRA,250+,ICT,631d2e6e-358e-4256-a78e-b9782e04b0a3
FRA,250+,Manufacturing,75ccddb6-428b-4b4c-8605-4431b6331f08
GBR,50-249,ICT,0525723a-4a15-44eb-bf86-275da3c7c094
GBR,50-249,Manufacturing,cbc60b3b-b129-4f95-a6d0-667b0d9596b2
GBR,250+,ICT,8a4bca69-7870-4f2d-bece-1eb721fdd6ed
GBR,250+,Manufacturing,93343fca-acc5-4dcd-acb4-c50d91eb9089
ITA,50-249,ICT,c5e73c10-e2f9-4ce5-9998-a0874b4492d4
ITA,50-249,Manufacturing,ff276b18-4ee7-4634-86dc-2824d80c85f6
ITA,250+,ICT,b38befe1-5698-4489-9a1a-5570734c7240
ITA,250+,Manufacturing,0d69d356-3a80-4462-a0fa-96372417b261
JPN,50-249,ICT,97161db0-0f5d-4199-937b-fb5c258b3c72
JPN,50-249,Manufacturing,81b2d8bc-9c28-4484-8e89-220b5111c445
JPN,250+,ICT,fa0711f6-ed15-481a-8bed-09964d265dc4
JPN,250+,Manufacturing,ba55a099-42d5-423c-a328-269c23320812
USA,50-249,ICT,f312556d-ad15-4487-9e89-63451e468cdf
USA,50-249,Manufacturing,c13b70a9-7a8b-4f30-bf5d-5cec8a77d918
USA,250+,ICT,d898d8dc-52c5-449b-9046-24f1fc7ca07d
USA,250+,Manufacturing,8b5fe115-1174-490a-bd8f-52b8cc83b961
