Country,Enterprise size,Sector,Partnership with AI enterprise (No),Partnership with AI enterprise (Yes),dimension_id
CAN,50-249,ICT,21 (70.0),9 (30.0),effa60f6-7f16-4a69-af9c-59382208b537
CAN,50-249,Manufacturing,12 (40.0),18 (60.0),3386c66d-f57f-4f54-b642-2373aebf53c2
CAN,250+,ICT,16 (53.3),14 (46.7),2bff4ddc-b3e4-46c8-a84b-4bab18d4d13e
CAN,250+,Manufacturing,15 (50.0),15 (50.0),664b4dd4-76f1-4e6a-9fa0-f6ade4157d12
DEU,50-249,ICT,20 (66.7),10 (33.3),3355ac9b-37a2-48d0-b07a-49f462aa6909
DEU,50-249,Manufacturing,14 (46.7),16 (53.3),a99b77f0-99d1-4667-bf86-47d67cb8d349
DEU,250+,ICT,16 (53.3),14 (46.7),c37ff945-9deb-4ac4-832f-15ff9011d7cd
DEU,250+,Manufacturing,12 (40.0),18 (60.0),e827d77b-3c14-4b13-879a-a558d9aee17d
FRA,50-249,ICT,15 (50.0),15 (50.0),fb0bdc31-5811-4ef6-a81b-f139ff808051
FRA,50-249,Manufacturing,11 (36.7),19 (63.3),187f8815-7eb9-4143-abeb-607837077b34
FRA,250+,ICT,12 (40.0),18 (60.0),cbfd8480-729a-4b59-9776-373979e5dc13
FRA,250+,Manufacturing,11 (36.7),19 (63.3),7324c5ea-7233-48f6-823e-568c79afa9c9
GBR,50-249,ICT,19 (63.3),11 (36.7),54ba9371-790c-41f5-9362-03840401ba2b
GBR,50-249,Manufacturing,18 (60.0),12 (40.0),8dc1fa0f-6402-4f13-a56e-1a15371e0d97
GBR,250+,ICT,15 (51.7),14 (48.3),36352977-32b0-4c0c-bdc1-e844c48d151b
GBR,250+,Manufacturing,16 (53.3),14 (46.7),83fa9070-bc37-4de6-be8a-8dd4cde56cea
ITA,50-249,ICT,17 (56.7),13 (43.3),3c4e5777-c133-490b-87ae-ee36c892a8b7
ITA,50-249,Manufacturing,16 (53.3),14 (46.7),8c2e0ae0-6c31-4fb2-a558-3f92d99092d8
ITA,250+,ICT,22 (73.3),8 (26.7),309da97b-b7ef-4e0f-a311-a8294e055eae
ITA,250+,Manufacturing,14 (46.7),16 (53.3),e6189c0e-9bd5-4ba6-91b2-dbd33b170c2f
JPN,50-249,ICT,16 (53.3),14 (46.7),7d9edf49-18e7-4161-8337-a3ca85af7c63
JPN,50-249,Manufacturing,12 (40.0),18 (60.0),7e7dd7ab-3689-422e-a632-a33d4b64d457
JPN,250+,ICT,15 (50.0),15 (50.0),228bf8ea-ef39-4f62-8008-bdabe9904163
JPN,250+,Manufacturing,12 (40.0),18 (60.0),d3612088-7a2f-4f89-84dd-e5d920e92f38
USA,50-249,ICT,21 (70.0),9 (30.0),62c1b874-53f8-4f95-8051-ffe2710175bf
USA,50-249,Manufacturing,20 (66.7),10 (33.3),e9a83d3c-f21b-41df-b766-21e2988de725
USA,250+,ICT,21 (70.0),9 (30.0),8ccd735a-f91b-4247-b4f5-76313f81b966
USA,250+,Manufacturing,21 (70.0),9 (30.0),cb7727cc-6dfb-4feb-a1c0-061d7e1c726a
