,Excel Q#,Dimensions,Constructs,ExcelQuestion,OECD match (Annex C Q#),Annex E table(s),Match,How to use the report to answer
0,1_1,Strategy and Vision,Alignment with Business Goals,Our organization’s AI strategy is well-aligned with its overall business objectives,Q1 (importance of AI to core processes),E.1,Partial,Use Annex E.1 to proxy strategic centrality; combine with Q19 (E.23) if you treat R&D share as strategic commitment.
1,1_2,Strategy and Vision,Leadership Commitment,Senior leaders in our organization are actively involved in driving AI initiatives,Q7 (created senior AI role/team),E.9,Direct,"From E.9, check whether firms created a senior AI role/team as evidence of leadership commitment."
2,1_3,Strategy and Vision,Long-Term Vision,Our organization has a clear and well-defined long-term vision for AI - 3 years or more,—,—,No direct,No item on long‑term vision; you can triangulate with Q1 (E.1) + Q19 (E.23) as a proxy for long‑run prioritisation.
3,1_4,Strategy and Vision,Resource Allocation,Financial resources are adequately allocated to support AI initiatives and AI innovations in our organization,Q19 (share of R&D on AI),E.23,Direct,Use E.23 to quantify resource allocation toward AI via R&D share.
4,2_1,Data,Data Quality,High-quality data is consistently and freely available for AI applications throughout our organization,— (data quality not asked),—,No direct,No direct data-quality item. Use Q3 (E.3) sources + Q4 (E.4) data mgmt solution as rough proxies for maturity.
5,2_2,Data,Data Accessibility,Our AI teams can easily access the data they need to develop and deploy AI models,Q3 (data sources),E.3,Partial,"Use E.3 to infer accessibility via breadth of sources (public sector, partners, providers)."
6,2_3,Data,Data Governance Framework,"Data governance policies supporting AI initiatives are well-established in our organization (eg on Data Quality, Data Security, Master Data)",Q5 (roles incl. CDO/DPO); Q18 (regulatory awareness),E.5–E.6; E.22,Partial,Governance framework not asked explicitly; combine presence of data/AI leadership (E.5–E.6) and awareness of regulatory requirements (E.22).
7,2_4,Data,Data Integration,Our organization can seamlessly integrate data from various sources for AI applications,Q4 (data management solution),E.4,Direct,"Use E.4 (e.g., data lake) as a direct indicator of integration."
8,3_1,Technology,AI Tools and Platforms,Our organization is well-equipped with AI tools and platforms to support its AI initiatives,Q7 (off‑the‑shelf vs customised; R&D),E.9,Partial,Tooling/platform choices are proxied by practices: buy vs build vs R&D (E.9).
9,3_2,Technology,Scalability,Our organization’s AI infrastructure is scalable to handle growing data and processing demands,Q6 (cloud limits); Q10 (implementation obstacles),E.7–E.8; E.12,Partial,Scalability not measured; use limits to cloud and other obstacles as constraints on scaling.
10,3_3,Technology,Cloud vs. On-Premises Solutions,"Our organization effectively balances the use of cloud-based and on-premises AI solutions to optimize performance, cost, and compliance",Q6 (limits to cloud use),E.7–E.8,Partial,Cloud vs on‑prem isn’t asked directly; E.7–E.8 capture barriers to cloud adoption.
11,3_4,Technology,Integration and Optimization,Our organization integrates AI well into existing business systems to automate workflows and enhance operations,Q7 (integration practices),E.9,Partial,"System integration/optimisation isn’t explicit; use E.9 practices (e.g., creating AI team, partnerships) as indirect signals."
12,4_1,Talent and Skills,AI Skills and Expertise,Our organization has the necessary AI expertise in-house to execute AI projects,Q5 (positions); Q11 (recruitment); Q12 (skills understanding),E.5–E.6; E.13; E.14,Direct,Combine E.5–E.6 for in‑house roles; E.13 for recruitment outcomes; E.14 for difficulty specifying skills.
13,4_2,Talent and Skills,Training and Development,Our organization regularly provides AI training and development opportunities for employees,Q7 (training employees); Q8 (public training services); Q13 (skills support),E.9; E.10; E.15,Direct,Use E.9 for internal training; E.10 for take‑up of public training; E.15 for perceived usefulness of skills support.
14,4_3,Talent and Skills,Recruitment and Team Formation,Our organization effectively attracts and recruits AI talent to build teams to work on AI solutions,Q11 (recruitment); Q7 (hiring new staff); Q5 (team composition),E.13; E.9; E.5–E.6,Direct,Recruitment outcomes (E.13) + practices (E.9) + roles inventory (E.5–E.6).
15,4_4,Talent and Skills,Cross-Functional Collaboration,AI teams in our organization collaborate well with other departments,Q5 (roles); Q7 (created senior AI role/team),E.5–E.6; E.9,Direct,Use roles present + whether a senior AI role/team was created.
