Region,Department,Employment_type,Age,UserLanguage,is_synthetic,RespondentID
Utrecht,HR,10-20 year,25-35,NL,0,de12f341
Zeeland,Research & Development,10-20 year,35-45,NL,0,76203fb1
Utrecht,Supply Chain,10-20 year,55+,NL,0,c0f6e7af
Flevoland,Research & Development,>20 year,35-45,NL,0,cc7b598b
Drenthe,Data & Analytics,>20 year,55+,NL,0,21f2a7bc
Zuid-Holland,Communication,<3 year,45-55,NL,0,5bff613e
Utrecht,Klantenservice,3-10 year,45-55,NL,0,e2300ef3
Drenthe,Klantenservice,<3 year,55+,NL,0,c922e13c
Drenthe,Data & Analytics,3-10 year,<25,NL,0,f2f1e801
Zeeland,Sales,>20 year,35-45,NL,0,4389612b
Limburg,Sustainability,10-20 year,25-35,NL,0,399b8a6c
Utrecht,Projectmanagement,>20 year,45-55,NL,0,a97ad542
Limburg,Projectmanagement,<3 year,35-45,NL,0,c317e8f9
Noord-Holland,Quality & Safety,3-10 year,25-35,NL,0,08385f1f
Limburg,Quality & Safety,<3 year,35-45,NL,0,3457c16f
Gelderland,Sales,<3 year,<25,NL,0,6e76948a
Overijssel,Supply Chain,<3 year,35-45,NL,0,91233f7b
Limburg,Sales,>20 year,35-45,NL,0,1dbc52da
Utrecht,Communication,10-20 year,55+,NL,0,b772785d
Friesland,Communication,10-20 year,45-55,NL,0,72da7df4
Zuid-Holland,HR,>20 year,45-55,NL,0,0bba300d
Friesland,Operations,3-10 year,35-45,NL,0,b638261d
Zuid-Holland,Communication,<3 year,<25,NL,0,c11e753e
Friesland,Procurement,3-10 year,35-45,NL,0,de5bef64
Gelderland,Marketing,>20 year,55+,NL,0,212eb51a
Flevoland,Communication,3-10 year,<25,NL,0,20b683a8
Flevoland,Procurement,>20 year,25-35,NL,0,1541c9d8
Noord-Holland,Strategy & Innovation,<3 year,25-35,NL,0,f2ecf160
Friesland,Communication,>20 year,45-55,NL,0,a1db4d78
Zuid-Holland,Research & Development,>20 year,<25,NL,0,b6640a20
Overijssel,HR,>20 year,55+,NL,0,131be406
Utrecht,Strategy & Innovation,>20 year,45-55,NL,0,345d575b
Drenthe,Operations,3-10 year,25-35,NL,0,0bcfb686
Zeeland,Sales,3-10 year,55+,NL,0,f7e1e672
Gelderland,Operations,<3 year,55+,NL,0,a64c52fc
Zeeland,Data & Analytics,3-10 year,45-55,NL,0,69680f70
Friesland,Operations,3-10 year,55+,NL,0,a12aff54
Gelderland,Strategy & Innovation,3-10 year,55+,NL,0,7ebf37ae
Zuid-Holland,Procurement,10-20 year,45-55,NL,0,d13f42c9
Zuid-Holland,Communication,3-10 year,45-55,NL,0,00fe1b23
Friesland,Research & Development,<3 year,<25,NL,0,240c1cbf
Zeeland,Research & Development,<3 year,<25,NL,0,2a17a3a2
