ResponseId,RespondentID,StartDate,Finished,DistributionChannel,SessionID
R_2CCkVAuPjJMUmQK,de12f341,2025-06-04 09:30:00,1,anonymous,5d83a36d
R_8QMxkJMOy5eE3h1,76203fb1,2025-06-23 10:49:00,1,gl,8ad27c31
R_8mRfLgVRMYuklQk,c0f6e7af,2025-07-09 22:43:00,1,gl,41d54bae
R_8tbmMS5ZmNlyDbH,cc7b598b,2025-07-14 10:20:00,1,gl,eeea9662
R_8f71Qfdh0bOi8wv,21f2a7bc,2025-07-14 10:23:00,1,gl,edb6ca59
R_8rlwIcMitgqpRd9,5bff613e,2025-07-14 10:21:00,1,gl,732bc5bc
R_8AXgznmGp3F9zk5,e2300ef3,2025-07-14 10:32:00,1,gl,32c4b478
R_2nvHY1bKKUrm2c5,c922e13c,2025-07-14 10:45:00,1,gl,f14fd782
R_8lqftGcNfLLgfv3,f2f1e801,2025-07-14 10:46:00,1,gl,7ac3eea6
R_2I627aTBRtuLyal,4389612b,2025-07-14 11:02:00,1,gl,3379894d
R_22Q4DKiSXULCPyv,399b8a6c,2025-07-14 11:03:00,1,gl,70f53776
R_81oGAonLetCkzER,a97ad542,2025-07-14 11:07:00,1,gl,0eaeb97b
R_88XF4FgWU0llLxL,c317e8f9,2025-07-14 10:56:00,1,gl,fa87a88b
R_8w5NX8VrcnWwYcY,08385f1f,2025-07-14 11:20:00,1,gl,8c7fe4f9
R_8jTUgDocomOCEbs,3457c16f,2025-07-14 11:41:00,1,gl,3f4762fb
R_8QE3dIjb9GcglqN,6e76948a,2025-07-14 12:04:00,1,gl,14d55c0f
R_8I3PO454Xt18lGL,91233f7b,2025-07-14 12:55:00,1,gl,d96d4660
R_8paH1XBb0PBz5xZ,1dbc52da,2025-07-14 13:03:00,1,gl,fa39de99
R_216LTDpdeAGUZnb,b772785d,2025-07-14 13:25:00,1,gl,00973b4b
R_8nCRRgJrYX6jbR7,72da7df4,2025-07-14 13:46:00,1,gl,255726a8
R_86j5V3aYIESVbZ7,0bba300d,2025-07-14 15:20:00,1,gl,8d9309e1
R_8OU0Eejw3eldP7E,b638261d,2025-07-14 16:51:00,1,gl,5a3d0090
R_8R8j8s5RyqJZli5,c11e753e,2025-07-15 08:16:00,1,gl,9b145051
R_2ib06ZK6yjToVEX,de5bef64,2025-07-15 08:28:00,1,gl,65ce3d09
R_1gMgi90H8Uur7Dd,212eb51a,2025-07-15 08:45:00,1,gl,be18a7c6
R_8FRGO9IGyHbY2vc,20b683a8,2025-07-15 08:48:00,1,gl,5b93c0f2
R_2YohQz9g5s63i8R,1541c9d8,2025-07-15 09:01:00,1,gl,629457c0
R_8IcSwpGo2PsPXgU,f2ecf160,2025-07-15 09:32:00,1,gl,40df66d6
R_2Itjx2lPRiEE64G,a1db4d78,2025-07-15 08:57:00,1,gl,4cae45fb
R_2jm5TutBZlK3fja,b6640a20,2025-07-15 09:54:00,1,gl,7c8ba181
R_2By8qu2m8ukEmzO,131be406,2025-07-15 11:32:00,1,gl,b260ceb2
R_859SyxipoExxBip,345d575b,2025-07-15 11:54:00,1,gl,30585217
R_25aNpp09RxnRcJj,0bcfb686,2025-07-15 12:28:00,1,gl,ec6e8705
R_2af9nF5j9HVvw6T,f7e1e672,2025-07-15 13:17:00,1,gl,3804eed2
