intervention_id,metric,roi_description,improvement_min_percent,improvement_max_percent
1,The Intrusive AI,Estimated improvement in the intrusive ai (%),6,12
2,The Intrusive AI,Estimated improvement in the intrusive ai (%),6,12
3,The Intrusive AI,Estimated improvement in the intrusive ai (%),6,12
4,The Unadaptive AI,Estimated improvement in the unadaptive ai (%),6,12
5,The Unadaptive AI,Estimated improvement in the unadaptive ai (%),6,12
6,The Unadaptive AI,Estimated improvement in the unadaptive ai (%),6,12
7,The Uncaring AI,Estimated improvement in the uncaring ai (%),6,12
8,The Uncaring AI,Estimated improvement in the uncaring ai (%),6,12
9,The Uncaring AI,Estimated improvement in the uncaring ai (%),6,12
10,The Confusing AI,Estimated improvement in the confusing ai (%),6,12
11,The Confusing AI,Estimated improvement in the confusing ai (%),6,12
12,The Confusing AI,Estimated improvement in the confusing ai (%),6,12
13,The Aloof AI,Estimated improvement in the aloof ai (%),6,12
14,The Aloof AI,Estimated improvement in the aloof ai (%),6,12
15,The Aloof AI,Estimated improvement in the aloof ai (%),6,12
16,The Redefining AI,Estimated improvement in the redefining ai (%),6,12
17,The Redefining AI,Estimated improvement in the redefining ai (%),6,12
18,The Redefining AI,Estimated improvement in the redefining ai (%),6,12
19,The Forcing AI,Estimated improvement in the forcing ai (%),6,12
20,The Forcing AI,Estimated improvement in the forcing ai (%),6,12
21,The Forcing AI,Estimated improvement in the forcing ai (%),6,12
22,The Distant AI,Estimated improvement in the distant ai (%),6,12
23,The Distant AI,Estimated improvement in the distant ai (%),6,12
24,The Distant AI,Estimated improvement in the distant ai (%),6,12
25,The Obscuring AI,Estimated improvement in the obscuring ai (%),6,12
26,The Obscuring AI,Estimated improvement in the obscuring ai (%),6,12
27,The Obscuring AI,Estimated improvement in the obscuring ai (%),6,12
28,The Separating AI,Estimated improvement in the separating ai (%),6,12
29,The Separating AI,Estimated improvement in the separating ai (%),6,12
30,The Separating AI,Estimated improvement in the separating ai (%),6,12
31,The Unjust AI,Estimated improvement in the unjust ai (%),6,12
32,The Unjust AI,Estimated improvement in the unjust ai (%),6,12
33,The Unjust AI,Estimated improvement in the unjust ai (%),6,12
34,The Constricting AI,Estimated improvement in the constricting ai (%),6,12
35,The Constricting AI,Estimated improvement in the constricting ai (%),6,12
36,The Constricting AI,Estimated improvement in the constricting ai (%),6,12
37,The Callous AI,Estimated improvement in the callous ai (%),6,12
38,The Callous AI,Estimated improvement in the callous ai (%),6,12
39,The Callous AI,Estimated improvement in the callous ai (%),6,12
40,The Hidden AI,Estimated improvement in the hidden ai (%),6,12
41,The Hidden AI,Estimated improvement in the hidden ai (%),6,12
42,The Hidden AI,Estimated improvement in the hidden ai (%),6,12
43,The Usurping AI,Estimated improvement in the usurping ai (%),6,12
44,The Usurping AI,Estimated improvement in the usurping ai (%),6,12
45,The Usurping AI,Estimated improvement in the usurping ai (%),6,12
46,The Threatening AI,Estimated improvement in the threatening ai (%),6,12
47,The Threatening AI,Estimated improvement in the threatening ai (%),6,12
48,The Threatening AI,Estimated improvement in the threatening ai (%),6,12
49,The Stagnating AI,Estimated improvement in the stagnating ai (%),6,12
50,The Stagnating AI,Estimated improvement in the stagnating ai (%),6,12
51,The Stagnating AI,Estimated improvement in the stagnating ai (%),6,12
52,The Devaluing AI,Estimated improvement in the devaluing ai (%),6,12
53,The Devaluing AI,Estimated improvement in the devaluing ai (%),6,12
54,The Devaluing AI,Estimated improvement in the devaluing ai (%),6,12
55,The Unknowable AI,Estimated improvement in the unknowable ai (%),6,12
56,The Unknowable AI,Estimated improvement in the unknowable ai (%),6,12
57,The Unknowable AI,Estimated improvement in the unknowable ai (%),6,12
58,The Replacing AI,Estimated improvement in the replacing ai (%),6,12
59,The Replacing AI,Estimated improvement in the replacing ai (%),6,12
60,The Replacing AI,Estimated improvement in the replacing ai (%),6,12
61,The Uncontrolled AI,Estimated improvement in the uncontrolled ai (%),6,12
62,The Uncontrolled AI,Estimated improvement in the uncontrolled ai (%),6,12
63,The Uncontrolled AI,Estimated improvement in the uncontrolled ai (%),6,12
64,The Brittle AI,Estimated improvement in the brittle ai (%),6,12
65,The Brittle AI,Estimated improvement in the brittle ai (%),6,12
66,The Brittle AI,Estimated improvement in the brittle ai (%),6,12
67,The Dehumanizing AI,Estimated improvement in the dehumanizing ai (%),6,12
68,The Dehumanizing AI,Estimated improvement in the dehumanizing ai (%),6,12
69,The Dehumanizing AI,Estimated improvement in the dehumanizing ai (%),6,12
70,The Risky AI,Estimated improvement in the risky ai (%),6,12
71,The Risky AI,Estimated improvement in the risky ai (%),6,12
72,The Risky AI,Estimated improvement in the risky ai (%),6,12
73,The Undermining AI,Estimated improvement in the undermining ai (%),6,12
74,The Undermining AI,Estimated improvement in the undermining ai (%),6,12
75,The Undermining AI,Estimated improvement in the undermining ai (%),6,12
